Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Rb2O, Ag2O, Cs2O, MnO, CoO, CuO, ZnO, SrO, PbO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Nd2O3, Gd2O3, Bi2O3, TiO2, MnO2, GeO2, ZrO2, CeO2, SnO2, TeO2, P2O5, Nb2O5, Ta2O5, HfO2, Nb2O3, SO3, WO3, GeS2, H2O, Sm2O3, Eu2O3, Tb2O3, Er2O3, Yb2O3, Pr2O3, R2O, RO, R2O3, LiF, NaF, KF, MgF2, CaF2, SrF2, BaF2, ZnF2, CdF2, PbF2, AlF3, LaF3, GdF3, ZrF4, ThF4, KHF2, HoF3, CsCl, BaCl2, PbCl2, CsI, PbI2, CuI, Li, Be, B, C, N, O, F, Na, Mg, Al, Si, P, S, Cl, K, Ca, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Zn, Ga, Ge, As, Se, Br, Rb, Sr, Y, Zr, Nb, Pd, Ag, In, Sn, Sb, Te, I, Cs, Ba, Ce, Nd, Tb, Er, Yb, Hf, Pt, Pb, Bi, Sr(PO3)2, Ca3(PO4)2, NaPO3, Zn(PO3)2, CaAl2Si2O8, PbS, As2S3, As2Se3, Sb2S3, Ga2Se3, GeSe2, AlN, SiC, Si3N4, Organic Compound, 2MgO-2Al2O3-5SiO2, Others, Fracture Toughness ( MPa.m1/2 )
845, GI06-191654R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.05, , 14.68, , , , , , 25.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.09
846, GI06-191656R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.0, , 15.0, 15.0, , , , 10.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.07
847, GI06-191657R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.7, , 15.34, , 14.97, , , 9.99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.84
848, GI06-191658R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.12, , 14.77, , , 14.96, , 9.99, , , , , , , , , , , , , , , 0.16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.74
849, GI06-191659R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.29, , 14.32, , , , , 10.12, , , , , , , , 15.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.07
850, GI06-191660R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.41, , 14.9, , 0.01, 0.009589, , 9.94, , , , , , , , , 15.59, , , , , , 0.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.75
851, GI06-191661R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.71, , 14.5, 19.82, , , , 9.88, , , , , , , , , , , , , , , 0.09, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.18
852, GI06-191662R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.06, , 14.15, 0.16, 20.58, , , 9.92, , , , , , , , , , , , , , , 0.13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.76
853, GI06-191663R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.29, , 15.02, , , 19.66, , 10.03, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.64
854, GI06-191664R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.45, , 14.68, , 0.01, , , 9.95, , , , , , , , 19.84, , , , , , , 0.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.94
855, GI06-191665R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 54.63, , 14.88, , 0.01, 0.00489, , 9.76, , , , , , , , , 20.57, , , , , , 0.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.71
856, GI06-191666R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.59, , 14.8, 14.63, , , , 4.95, 4.93, , , , , , , , , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.15
857, GI06-191667R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.68, , 14.72, 0.12, 15.3, , , 5.09, 4.99, , , , , , , 0.008285, 0.006508, , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.79
858, GI06-191668R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.76, , 15.33, , , 14.97, , 4.97, 4.85, , , , , , , , 0.007887, , , , , , 0.12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.74
859, GI06-191669R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.23, , 14.95, , 0.01, , , 5.12, 5.0, , , , , , , 15.69, , , , , , , 0.007228, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.04
860, GI06-191670, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.48, , 14.09, , 0.01, , , 5.08, 5.02, , , , , , , 0.009153, 15.21, , , , , , 0.11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.78
861, GI06-191671R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.51, , 14.73, 19.56, , , , 5.18, 5.02, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.06
862, GI06-191672R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.15, , 14.38, , 20.36, , , 5.1, 5.01, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.81
863, GI06-191673R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.25, , 14.44, , , 20.29, , 4.99, 4.85, , , , , , , , , , , , , , 0.18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.64
864, GI06-191674R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 54.15, , 15.15, , , , , 5.31, 5.35, , , , , , , 19.97, , , , , , , 0.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.07
865, GI06-191675R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 54.91, , 14.64, , , , , 5.12, 4.96, , , , , , , , 20.37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.72
866, GI06-191676, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.51, , 15.29, , , , 16.3, 0.07, , , , , , , , , , , , , , , , , , , , , , , , , 2.83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.12
867, GI06-191678, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.74, , 15.28, 4.19, , , 14.73, 0.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.24
868, GI06-191679, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 64.32, , 15.56, , , , 15.16, 0.07, , , , , , , , , 4.89, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.05
869, GI06-191680, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.13, , 15.19, , , , 14.86, 0.06, , , , , , , , 4.76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.2
870, GI06-191682, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.18, , 15.98, , , , 14.02, 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.39
871, GI06-191683, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.03, , 15.08, , 5.0, , 14.81, 0.08, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.15
872, GI06-191684, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 64.59, , 15.01, , , 5.2, 15.1, 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.04
873, GI06-191686, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.32, , 15.24, , , , 7.3, 7.49, , , , , , , , , , , , , , , , , , , , , , 4.65, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.1
874, GI06-191687R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.99, , 15.18, 3.84, , , 7.22, 7.77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.17
875, GI06-191688R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.08, , 15.19, , , , 7.35, 7.81, , , , , , , , , 4.57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.08
876, GI06-191689R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.84, , 14.52, , , , 7.2, 7.57, , , , , , , , 4.87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.2
877, GI06-191691, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 64.1, , 15.45, , , , , 7.66, 7.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.16
878, GI06-191692R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.28, , 14.96, , 4.96, , 7.19, 7.61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.09
879, GI06-191693R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.0, , 15.12, , , 5.1, 7.24, 7.54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.03
880, GI03-191694R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.64, , 4.95, , , 20.03, , 6.24, 4.76, , , , , , , , 0.38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.57
881, GI03-191695R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.99, , 5.09, , , 15.19, , 5.94, 4.62, , , , , , , , 5.17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.62
882, GI03-191696, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.97, , 4.9, , , 9.67, , 5.79, 4.93, , , , , , , , 9.74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.58
883, GI03-191697, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.26, , 4.96, , , 5.36, , 6.09, 5.0, , , , , , , , 15.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.54
884, GI03-191698R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.5, , 4.93, , , 0.18, , 5.97, 5.07, , , , , , , , 19.35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.49
885, GI03-191699R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.53, , 5.0, , 4.82, 15.43, , 6.02, 4.97, , , , , , , , , , 0.23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.57
886, GI03-191700R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.42, , 4.85, , 4.87, 10.03, , 6.54, 5.23, , , , , , , , 5.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.56
887, GI03-191701, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.58, , 4.93, , 4.94, 5.22, , 6.33, 5.28, , , , , , , , 9.72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.61
888, GI03-191702R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.83, , 4.93, , 4.95, 0.12, , 6.52, 5.37, , , , , , , , 14.28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.58
889, GI03-191703R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.14, , 4.97, , 10.24, 9.82, , 5.81, 4.79, , , , , , , , 0.23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.64
890, GI03-191704R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.24, , 4.99, 0.1, 9.7, 5.12, , 6.1, 4.93, , , , , , , , 4.82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.66
891, GI03-191705R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.95, , 4.97, 0.1, 9.93, , , 6.19, 5.18, , , , , , , , 9.68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.62
892, GI03-191706, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.08, , 5.08, 0.22, 14.87, 5.2, , 5.73, 4.77, , , , , , , , , , 0.05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.64
893, GI03-191707R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.58, , 4.92, 0.07, 14.76, , , 6.39, 5.36, , , , , , , , 4.92, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.69
894, GI03-191708R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.22, , 4.96, 0.22, 20.1, , , 5.62, 4.88, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.72
895, GI03-191709R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.29, , 4.96, 4.76, 14.62, , , 6.12, 5.25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.71
896, GI03-191710R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.17, , 5.02, 4.57, 10.49, , , 5.8, 4.98, , , , , , , , 4.97, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.63
897, GI03-191711R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.48, , 4.99, 4.33, 4.93, 0.05, , 5.97, 5.04, , , , , , , , 10.21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.72
898, GI03-191712, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.86, , 4.88, 9.38, 10.08, , , 5.79, 5.01, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.76
899, GI03-191713R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.45, , 4.95, 4.71, , 0.13, , 6.06, 5.0, , , , , , , , 14.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.7
900, GI03-191714, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.48, , 5.09, 9.27, 5.0, , , 5.89, 4.75, , , , , , , , 5.52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.72
901, GI03-191715R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.48, , 4.92, 9.43, , 0.06, , 5.98, 4.88, , , , , , , , 11.25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.73
902, GI03-191716, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 63.44, , 5.02, 15.05, 5.38, , , 6.17, 4.94, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.81
903, GI03-191717, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 64.57, , 5.09, 13.84, , , , 6.04, 4.96, , , , , , , , 5.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.86
904, GI03-191718, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 67.14, , 4.9, 17.65, , , , 5.62, 4.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.93
