Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common
227, GP03-352276, US Patent    Konica Minolta (J), 2013, A0231236, 2.5, 86.0, 5860.4
228, GP03-352277, US Patent    Konica Minolta (J), 2013, A0231236, 2.52, 87.9, 6076.0
229, GP03-352278, US Patent    Konica Minolta (J), 2013, A0231236, 2.54, 83.3, 6027.0
230, GP03-352279, US Patent    Konica Minolta (J), 2013, A0231236, 2.56, 84.9, 6017.2
231, GP03-352280, US Patent    Konica Minolta (J), 2013, A0231236, 2.53, 84.9, 5880.0
232, GP03-352281, US Patent    Konica Minolta (J), 2013, A0231236, 2.53, 83.8, 5899.6
233, GP03-352282, US Patent    Konica Minolta (J), 2013, A0231236, 2.49, 82.1, 5860.4
234, GP03-352283, US Patent    Konica Minolta (J), 2013, A0231236, 2.54, 87.3, 6085.8
235, GP03-352284, US Patent    Konica Minolta (J), 2013, A0231236, 2.52, 83.3, 5805.52
236, GP03-352285, US Patent    Konica Minolta (J), 2013, A0231236, 2.53, 82.0, 5889.8
237, GJ03-355425, J. Materials Science, 2013, v. 048  p. 3461, 2.75, 102.0, 8000.0
238, GJ03-355428, J. Materials Science, 2013, v. 048  p. 3461, 2.89, 102.0, 8400.0
239, XJ03-355429, J. Materials Science, 2013, v. 048  p. 3461, 2.76, 96.0, 8200.0
240, XJ03-355430, J. Materials Science, 2013, v. 048  p. 3461, 2.755, 95.0, 8300.0
241, XJ03-355431, J. Materials Science, 2013, v. 048  p. 3461, 2.885, 112.0, 10100.0
242, XJ03-355436, J. Materials Science, 2013, v. 048  p. 3461, 2.87, 97.0, 8700.0
243, XJ03-355437, J. Materials Science, 2013, v. 048  p. 3461, 2.89, 97.0, 8800.0
244, XJ03-355438, J. Materials Science, 2013, v. 048  p. 3461, 2.985, 102.0, 9900.0
245, XJ03-355439, J. Materials Science, 2013, v. 048  p. 3461, 3.0, 110.0, 10500.0
246, GJ10-358782, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.07, 41.3, 3530.0
247, GJ05-358783, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.18, 41.6, 3580.0
248, GJ05-358784, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.04, 32.1, 3150.0
249, GJ05-358785, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.31, 57.1, 5350.0
250, GJ05-358786, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.15, 44.4, 3750.0
251, GJ05-358787, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.45, 78.8, 6200.0
252, GJ05-358788, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.18, 50.6, 4250.0
253, GJ05-358789, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.22, 61.9, 6470.0
254, GJ05-358790, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.45, 78.4, 6620.0
255, GJ05-358791, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.14, 56.7, 6420.0
256, GJ05-358792, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.26, 63.5, 6330.0
257, GJ03-358793, J. Non-Crystalline Solids, 2015, v. 417  p. 0015, 2.48, 70.7, 5360.0
258, GJ20-359495, J. Non-Crystalline Solids, 2015, v. 430  p. 0079, 3.541, 38.63, 2750.0
259, GJ20-359496, J. Non-Crystalline Solids, 2015, v. 430  p. 0079, 3.508, 39.24, 2780.0
260, GJ20-359497, J. Non-Crystalline Solids, 2015, v. 430  p. 0079, 3.472, 39.86, 2800.0
261, GJ20-359498, J. Non-Crystalline Solids, 2015, v. 430  p. 0079, 3.438, 40.41, 2880.0
262, GJ20-359499, J. Non-Crystalline Solids, 2015, v. 430  p. 0079, 3.402, 41.03, 2900.0
263, GJ20-359500, J. Non-Crystalline Solids, 2015, v. 430  p. 0079, 3.365, 41.51, 2920.0
264, GJ60-359503, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.42, 66.2, 3750.0
265, GJ60-359504, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.54, 68.9, 3830.0
266, GJ60-359505, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.45, 70.3, 3890.0
267, GJ60-359506, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.46, 69.7, 3950.0
268, GJ60-359507, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.45, 70.6, 4010.0
269, GJ60-359508, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.46, 73.1, 4060.0
270, GJ60-359509, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.47, 72.3, 4100.0
271, GJ60-359510, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.4, 74.3, 4270.0
272, GJ60-359511, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.48, 75.4, 4350.0
273, GJ60-359512, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.51, 77.5, 4580.0
274, GJ60-359513, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.51, 78.5, 4770.0
275, GJ60-359514, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.46, 77.2, 4700.0
276, GJ60-359515, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.26, 61.1, 4170.0
277, GJ60-359516, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.25, 59.7, 4070.0
278, GJ20-359517, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.2, 54.5, 3790.0
279, GJ20-359518, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, 3.18, 51.8, 3610.0
280, GP03-360444, Japanese Patent    Hoya Corp. (J), 2015, A096465, 2.68, 88.0, 5929.0
281, GP03-360445, Japanese Patent    Hoya Corp. (J), 2015, A096465, 2.66, 83.0, 5635.0
282, GP03-360446, Japanese Patent    Hoya Corp. (J), 2015, A096465, 2.7, 80.0, 6174.0
283, GP03-360447, Japanese Patent    Hoya Corp. (J), 2015, A096465, 2.68, 89.0, 5684.0
284, GP03-360448, Japanese Patent    Hoya Corp. (J), 2015, A096465, 2.69, 88.0, 5439.0
285, GP03-360449, Japanese Patent    Hoya Corp. (J), 2015, A096465, 2.65, 80.0, 5733.0
286, GP03-360450, Japanese Patent    Hoya Corp. (J), 2015, A096465, 2.68, 80.0, 5586.0
287, GP03-360451, Japanese Patent    Hoya Corp. (J), 2015, A096465, 2.61, 83.0, 5978.0
288, GP03-360452, Japanese Patent    Hoya Corp. (J), 2015, A096465, 2.64, 83.0, 6076.0
289, GP03-360453, Japanese Patent    Hoya Corp. (J), 2015, A096465, 2.69, 82.0, 5880.0
290, GJ02-368433, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.514, 73.8, 5640.0
291, GJ02-368434, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.503, 72.6, 5370.0
292, GJ02-368435, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.478, 71.9, 5020.0
293, GJ02-368436, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.443, 68.8, 4840.0
294, GJ02-368437, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.56, 74.6, 5670.0
295, GJ02-368438, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.566, 75.7, 5780.0
296, GJ02-368439, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.594, 76.8, 5880.0
297, GJ02-368440, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.605, 78.0, 5980.0
298, GJ02-368441, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.638, 80.1, 6100.0
299, GJ02-368442, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.661, 81.3, 6350.0
300, GJ02-368443, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.519, 73.8, 5590.0
301, GJ02-368444, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.52, 73.4, 5590.0
302, GJ02-368445, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.526, 73.6, 5600.0
303, GJ02-368446, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.525, 73.5, 5570.0
304, GJ02-368447, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.535, 73.6, 5510.0
305, GJ02-368448, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 2.535, 73.5, 5480.0
306, GJ28-369386, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, 3.71, 41.672, 13190.0
307, GJ28-369387, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, 3.759, 43.114, 14160.0
308, GJ28-369388, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, 3.882, 44.352, 12150.0
309, GJ28-369389, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, 3.888, 47.343, 13190.0
310, GJ28-369390, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, 4.031, 48.154, 16350.0
311, GJ28-369391, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, 4.144, 49.781, 15140.0
312, GJ03-373014, Bull. Materials Science, 2016, v. 039  p. 0365, 2.68, 90.47, 6750.0
313, GJ03-373015, Bull. Materials Science, 2016, v. 039  p. 0365, 2.74, 92.16, 7300.0
314, GJ03-373016, Bull. Materials Science, 2016, v. 039  p. 0365, 2.77, 97.24, 7800.0
315, GJ03-373017, Bull. Materials Science, 2016, v. 039  p. 0365, 2.81, 101.95, 8900.0
316, GJ03-373018, Bull. Materials Science, 2016, v. 039  p. 0365, 2.825, 104.38, 9950.0
317, GJ03-378945, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 2.843, 89.0, 6380.0
318, GJ03-378946, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 2.757, 86.0, 6130.0
319, GJ02-378949, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 2.5023, 77.9, 5290.0
320, GJ02-378950, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 2.613, 80.0, 6000.0
321, GJ03-378951, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 2.596, 77.7, 6040.0
322, GJ02-378952, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 2.565, 75.4, 5410.0
323, GJ02-378953, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 2.661, 80.6, 5920.0
324, GJ03-378954, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 2.683, 85.0, 5950.0
325, GJ40-390413, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, 3.84, 28.0, 1500.0
326, GJ40-390414, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, 3.84, 32.5, 1600.0
327, GJ40-390415, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, 3.87, 37.5, 1700.0
328, GJ40-390416, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, 3.9, 40.0, 2000.0
329, GJ40-390417, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, 3.96, 43.5, 2300.0
330, GJ40-390418, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, 3.97, 48.0, 2500.0
331, GJ50-393506, J. Non-Crystalline Solids, 2019, a. 119543, 3.688, 16.55, 1550.0
332, GJ50-393507, J. Non-Crystalline Solids, 2019, a. 119543, 3.737, 16.55, 1630.0
333, GJ50-393508, J. Non-Crystalline Solids, 2019, a. 119543, 3.787, 16.55, 1690.0
334, GJ50-393509, J. Non-Crystalline Solids, 2019, a. 119543, 3.836, 16.54, 1700.0
335, GJ50-393510, J. Non-Crystalline Solids, 2019, a. 119543, 3.892, 16.55, 1710.0
336, GJ02-397620, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.43, 56.0, 4400.0
337, GJ02-397621, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.49, 73.0, 6400.0
338, GJ02-397622, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.51, 73.0, 6600.0
339, GJ05-397623, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.47, 75.0, 5800.0
340, GJ10-397624, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.4, 69.0, 6200.0
341, GJ10-397625, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.33, 62.0, 5500.0
342, GJ10-397626, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.25, 53.0, 4700.0
343, GJ02-397627, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.45, 67.0, 5600.0
344, GJ02-397628, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.45, 69.0, 6500.0
345, GJ05-397629, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.42, 64.0, 6100.0
346, GJ10-397630, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.35, 56.0, 5400.0
347, GJ10-397631, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.28, 50.0, 4500.0
348, GJ10-397632, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.22, 44.0, 3800.0
349, GJ02-397633, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.5, 72.0, 6600.0
350, GJ06-397634, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.42, 62.0, 6000.0
351, GJ05-397635, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.36, 51.0, 4900.0
352, GJ10-397636, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.29, 46.0, 4000.0
353, GJ10-397637, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.25, 44.0, 3500.0
354, GJ10-397638, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.36, 55.0, 4900.0
355, GJ10-397639, J. American Ceramic Soc., 2019, v. 102  p. 4520, 2.28, 47.0, 3700.0
356, GP06-399059, Japanese Patent    AGC (J), 2017, AW204167, 2.48, 75.1, 5390.0
357, GP06-399062, Japanese Patent    AGC (J), 2017, AW204167, 2.47, 75.7, 5390.0
358, GP03-403340, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 3.228, 113.0, 7673.4
359, GP03-403341, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 2.966, 114.0, 7908.6
360, GP03-403342, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 3.019, 117.0, 7761.6
361, GP03-403343, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 3.024, 113.0, 7595.0
362, GP03-403344, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 3.072, 116.0, 7781.2
363, GP03-403345, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 2.973, 113.0, 8006.6
