Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common
54, GI06-191666R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.5, 80.6, 6448.4
55, GI06-191667R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.55, 79.4, 6634.6
56, GI06-191668R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.98, 74.5, 6556.2
57, GI06-191669R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.7, 79.1, 5762.4
58, GI06-191670, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.78, 77.9, 7026.6
59, GI06-191671R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.54, 84.3, 6742.4
60, GI06-191672R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.61, 81.9, 7046.2
61, GI06-191673R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 3.17, 75.3, 6517.0
62, GI06-191674R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.82, 80.9, 6085.8
63, GI06-191675R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.9, 79.0, 6419.0
64, GI06-191676, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.46, 82.8, 5252.8
65, GI06-191678, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.41, 83.1, 5213.6
66, GI06-191679, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.52, 83.1, 5007.8
67, GI06-191680, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.48, 83.1, 5125.4
68, GI06-191682, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.35, 73.3, 4615.8
69, GI06-191684, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.59, 82.9, 5007.8
70, GI06-191686, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.45, 78.8, 5047.0
71, GI06-191687R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.43, 81.9, 5194.0
72, GI06-191688R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.55, 80.2, 5194.0
73, GI06-191689R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.48, 81.4, 5154.8
74, GI06-191691, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.38, 63.7, 4596.2
75, GI06-191692R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.47, 81.9, 5174.4
76, GI06-191693R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 2.62, 80.0, 5145.0
77, GI03-191694R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 3.2, 69.6, 4615.8
78, GI03-191695R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 3.13, 71.3, 4743.2
79, GI03-191696, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 3.11, 72.6, 4949.0
80, GI03-191697, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 3.03, 73.9, 4929.4
81, GI03-191698R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.93, 74.4, 4978.4
82, GI03-191699R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 3.05, 72.9, 4890.2
83, GI03-191700R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.99, 74.3, 4988.2
84, GI03-191701, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.59, 76.9, 5027.4
85, GI03-191702R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.84, 76.1, 5105.8
86, GI03-191703R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.91, 75.0, 5135.2
87, GI03-191704R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.84, 76.0, 6771.8
88, GI03-191705R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.77, 75.5, 6330.8
89, GI03-191706, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.76, 76.8, 6291.6
90, GI03-191707R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.69, 77.4, 6487.6
91, GI03-191708R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.93, 77.7, 6164.2
92, GI03-191709R, NGF's Additional New Data (J), 2001, v. 004  p. 0003, 2.57, 77.2, 6125.0
