Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Vickers Hardness 100g,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Ag2O, Tl2O, BeO, MnO, CuO, ZnO, SrO, CdO, PbO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Gd2O3, Bi2O3, Sc2O3, TiO2, GeO2, ZrO2, CeO2, SnO2, SeO2, TeO2, P2O5, V2O5, Nb2O5, Ta2O5, HfO2, Nb2O3, SO3, WO3, GeS2, OH, Sm2O3, Eu2O3, Tb2O3, Dy2O3, Er2O3, Yb2O3, Lu2O3, Pr2O3, R2O, RO, MgF2, CaF2, SrF2, AlF3, NdF3, KCl, SrCl2, ZnCl2, CdCl2, PbCl2, KBr, KI, CsI, Li, B, N, O, Mg, Al, Si, P, S, Cl, Ca, Ti, Fe, Co, Ni, Cu, Zn, Ga, Ge, Sr, Y, Zr, Ag, Sb, Te, Ba, La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, W, Re, Sr(PO3)2, Ga2S3, Sb2S3, Ga2Se3, GeSe2, In2S3, AlN, ZrO2-SiO2, Vickers Hardness 100g ( MPa )
361, GB02-027429, Handbook of Glass Data, 1987, v. 00C  p. 0608, 73.5, , , , , , , 18.5, , , , , , , , , , , , , , , , , , , , , , , , 8.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6223.0
362, GB02-027430, Handbook of Glass Data, 1987, v. 00C  p. 0608, 71.0, , , , , , , 16.5, , , , , , , , , , , , , , , , , , , , , , , , 12.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7056.0
363, GB02-027431, Handbook of Glass Data, 1987, v. 00C  p. 0608, 74.6, , , , , , , 16.0, , , , , , , , , , , , , , , , , , , , , , , , 9.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6468.0
364, GB02-027432, Handbook of Glass Data, 1987, v. 00C  p. 0608, 77.8, , , , , , , 15.6, , , , , , , , , , , , , , , , , , , , , , , , 6.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6125.0
365, GB02-027433, Handbook of Glass Data, 1987, v. 00C  p. 0608, 81.0, , , , , , , 15.2, , , , , , , , , , , , , , , , , , , , , , , , 3.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5684.0
366, GB02-027434, Handbook of Glass Data, 1987, v. 00C  p. 0608, 83.9, , , , , , , 14.8, , , , , , , , , , , , , , , , , , , , , , , , 1.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5243.0
367, GB02-027435, Handbook of Glass Data, 1987, v. 00C  p. 0610, 50.0, , , , , , , 45.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3352.0
368, GB02-027436, Handbook of Glass Data, 1987, v. 00C  p. 0610, 55.0, , , , , , , 45.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3704.0
369, GB02-027437, Handbook of Glass Data, 1987, v. 00C  p. 0610, 55.0, , , , , , , 40.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3646.0
370, GB02-027438, Handbook of Glass Data, 1987, v. 00C  p. 0610, 60.0, , , , , , , 40.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3861.0
371, GB02-027439, Handbook of Glass Data, 1987, v. 00C  p. 0610, 55.0, , , , , , , 35.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 10.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3597.0
372, GB02-027440, Handbook of Glass Data, 1987, v. 00C  p. 0610, 60.0, , , , , , , 35.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3802.0
373, GB02-027441, Handbook of Glass Data, 1987, v. 00C  p. 0610, 65.0, , , , , , , 35.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4057.0
374, GB02-027442, Handbook of Glass Data, 1987, v. 00C  p. 0610, 45.1, , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 24.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3283.0
375, GB02-027443, Handbook of Glass Data, 1987, v. 00C  p. 0610, 49.8, , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 20.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3401.0
376, GB02-027444, Handbook of Glass Data, 1987, v. 00C  p. 0610, 55.0, , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3587.0
377, GB02-027445, Handbook of Glass Data, 1987, v. 00C  p. 0610, 60.0, , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 10.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3753.0
378, GB02-027446, Handbook of Glass Data, 1987, v. 00C  p. 0610, 65.2, , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3900.0
379, GB02-027447, Handbook of Glass Data, 1987, v. 00C  p. 0610, 70.0, , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4047.0
380, GB02-027448, Handbook of Glass Data, 1987, v. 00C  p. 0610, 50.1, , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 24.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3361.0
381, GB02-027449, Handbook of Glass Data, 1987, v. 00C  p. 0610, 55.4, , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 19.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3528.0
382, GB02-027450, Handbook of Glass Data, 1987, v. 00C  p. 0610, 65.2, , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 9.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3832.0
383, GB02-027451, Handbook of Glass Data, 1987, v. 00C  p. 0610, 70.2, , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3989.0
384, GB02-027452, Handbook of Glass Data, 1987, v. 00C  p. 0610, 75.0, , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4145.0
385, GB10-028121, Handbook of Glass Data, 1985, v. 00B  p. 0151, , 80.0, , , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2785.0
386, GB10-028122, Handbook of Glass Data, 1985, v. 00B  p. 0151, , 75.0, , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3185.0
387, GB10-028123, Handbook of Glass Data, 1985, v. 00B  p. 0151, , 70.0, , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3376.0
388, GP04-030663, Japanese Patent    Nikon Corp. (J), 1984, A131541, 57.43, , , , , , , 10.86, , , , , , , 19.65, , , 12.06, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4890.0
389, GJ02-032075, Glass and Ceramics Bull., 1984, v. 031  p. 0009, 75.0, , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5694.0
390, GJ02-032080, Glass and Ceramics Bull., 1984, v. 031  p. 0009, 66.67, , , , , , , 33.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4822.0
391, GJ02-032085, Glass and Ceramics Bull., 1984, v. 031  p. 0009, 50.0, , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4106.0
392, GJ02-032876, Glass & Ceramics, 1983, v. 040  p. 0411, 71.13, , 1.09, 6.05, 7.1, , , 14.29, , , , , , , , , , , , , 0.05, , , , , , , , , , , , , , , , , , , , , , 0.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5500.0
393, GJ02-032877, Glass & Ceramics, 1983, v. 040  p. 0411, 70.83, , 1.91, 5.35, 6.89, , , 14.6, , , , , , , , , , , , , 0.03, , , , , , , , , , , , , , , , , , , , , , 0.37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6100.0
394, GJ02-032878, Glass & Ceramics, 1983, v. 040  p. 0411, 71.22, , 1.1, 6.19, 6.89, , , 14.19, , , , , , , , , , , , , 0.03, , , , , , , , , , , , , , , , , , , , , , 0.37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5200.0
395, GP07-033747, Japanese Patent    Toshiba Glass (J), 1985, A215549, *, *, *, , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6174.0
396, GP07-033748, Japanese Patent    Toshiba Glass (J), 1985, A215549, *, *, *, , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5978.0
397, GP07-033749, Japanese Patent    Toshiba Glass (J), 1985, A215549, *, *, *, , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7350.0
398, GP05-033750, Japanese Patent    Toshiba Glass (J), 1985, A215549, *, *, *, , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5880.0
399, GP07-033751, Japanese Patent    Toshiba Glass (J), 1985, A215549, *, *, *, , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6860.0
400, GP05-035924, Japanese Patent    Toshiba Glass (J), 1986, A141642, *, *, *, , , , , , , , , , , , *, , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5782.0
401, GP05-035925, Japanese Patent    Toshiba Glass (J), 1986, A141642, *, *, *, , , , , , , , , , , , *, , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6076.0
402, GP07-035926, Japanese Patent    Toshiba Glass (J), 1986, A141642, *, *, *, , , , , , , , , , , , *, , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5684.0
403, GP07-035927, Japanese Patent    Toshiba Glass (J), 1986, A141642, *, *, *, , , , , , , , , , , , *, , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5880.0
404, GP07-035928, Japanese Patent    Toshiba Glass (J), 1986, A141642, *, *, *, , , , , , , , , , , , *, , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6174.0
405, GB10-037670, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 72.4, , , , , , , , , , , , , , , , 27.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5674.0
406, GB10-037671, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 68.1, , , , , , , , , , , , , , , , 31.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5400.0
407, GB10-037672, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 63.3, , , , , , , , , , , , , , , , 36.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5125.0
408, GB10-037673, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 57.9, , , , , , , , , , , , , , , , 42.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4763.0
409, GB10-037674, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 51.7, , , , , , , , , , , , , , , , 48.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4361.0
410, GB10-037675, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 44.5, , , , , , , , , , , , , , , , 55.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4018.0
411, GB10-037676, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 36.0, , , , , , , , , , , , , , , , 64.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3616.0
412, GB10-037677, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 26.2, , , , , , , , , , , , , , , , 73.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3175.0
413, GB10-037678, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 100.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1210.0
414, GB10-037679, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 98.4, , , , , , , , , , , , , , , , 1.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1280.0
415, GB10-037680, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 96.6, , , , , , , , , , , , , , , , 3.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1430.0
416, GB10-037681, Handbook of Glass Data, 1985, v. 00B  p. 0263, , 95.4, , , , , , , , , , , , , , , , 4.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1450.0
417, GB10-037682, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 94.0, , , , , , , , , , , , , , , , 6.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1550.0
418, GB10-037683, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 87.2, , , , , , , , , , , , , , , , 12.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2350.0
419, GB10-037684, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 85.1, , , , , , , , , , , , , , , , 14.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2760.0
420, GB10-037685, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 82.8, , , , , , , , , , , , , , , , 17.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2820.0
421, GB10-037686, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 82.2, , , , , , , , , , , , , , , , 17.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3150.0
422, GB10-037687, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 79.6, , , , , , , , , , , , , , , , 20.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3630.0
423, GB10-037694, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 79.6, , , , , , , , , , , , , , , , 20.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3630.0
424, GB10-037695, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 75.0, , , , , , , , , , , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3800.0
425, GB10-037696, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 70.0, , , , , , , , , , , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3910.0
426, GB10-037697, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 65.0, , , , , , , , , , , , , , , , 35.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4000.0
427, GB10-037698, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 60.0, , , , , , , , , , , , , , , , 40.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4140.0
428, GB10-037699, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 55.0, , , , , , , , , , , , , , , , 45.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3770.0
429, GB10-037700, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 50.0, , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3510.0
430, GB10-037701, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 45.0, , , , , , , , , , , , , , , , 55.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3160.0
431, GB10-037702, Handbook of Glass Data, 1985, v. 00B  p. 0264, , 40.0, , , , , , , , , , , , , , , , 60.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2910.0
432, GJ10-039013, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 80.0, , , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2785.0
433, GJ10-039014, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 75.0, 5.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3181.0
434, GJ10-039015, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 70.0, 10.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3558.0
435, GJ10-039016, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 65.0, 15.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3654.0
436, GJ10-039017, J. Non-Crystalline Solids, 1982, v. 050  p. 0155, , 60.0, 20.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3637.0
