 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
9848 60.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9850 60.0 17.5 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12163 71.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12313 74.99 25.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12314 73.08 24.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12315 72.74 24.27 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12316 69.57 23.21 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12317 68.91 22.99 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12318 66.68 22.29 0.0 0.0 11.03 0.0 0.0 0.0 0.0 0.0 0.0
12319 66.34 22.18 0.0 0.0 10.97 0.0 0.0 0.0 0.0 0.0 0.0
12320 63.11 21.1 0.0 0.0 10.44 0.0 0.0 0.0 0.0 0.0 0.0
12321 62.21 20.79 0.0 0.0 10.29 0.0 0.0 0.0 0.0 0.0 0.0
12322 61.04 20.4 0.0 0.0 10.1 0.0 0.0 0.0 0.0 0.0 0.0
12323 71.33 15.02 0.0 13.64 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12324 71.03 14.96 0.0 13.58 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12325 70.78 14.9 0.0 13.53 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12704 73.79 15.5 0.0 0.0 10.7 0.0 0.0 0.0 0.0 0.0 0.0
12705 73.78 15.5 0.0 0.0 10.7 0.0 0.0 0.0 0.0 0.0 0.0
12706 73.76 15.49 0.0 0.0 10.69 0.0 0.0 0.0 0.0 0.0 0.0
12707 73.74 15.49 0.0 0.0 10.69 0.0 0.0 0.0 0.0 0.0 0.0
12708 73.74 15.49 0.0 0.0 10.69 0.0 0.0 0.0 0.0 0.0 0.0
12714 74.97 0.0 0.0 0.0 0.0 0.0 0.0 24.99 0.0 0.0 0.0
12715 74.96 0.0 0.0 0.0 0.0 0.0 0.0 24.99 0.0 0.0 0.0
12716 74.93 0.0 0.0 0.0 0.0 0.0 0.0 24.98 0.0 0.0 0.0
12718 74.93 0.0 0.0 0.0 0.0 0.0 0.0 24.98 0.0 0.0 0.0
12719 74.99 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12722 74.46 24.82 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12723 74.4 24.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
13934 62.64 0.37 7.53 16.55 0.0 0.0 0.0 0.0 0.0 12.52 0.0
13981 99.65 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
20575 70.0 15.0 0.0 0.0 10.0 0.0 5.0 0.0 0.0 0.0 0.0
20576 70.0 10.0 0.0 0.0 10.0 0.0 10.0 0.0 0.0 0.0 0.0
20577 70.0 5.0 0.0 0.0 10.0 0.0 15.0 0.0 0.0 0.0 0.0
20578 70.0 0.0 0.0 0.0 10.0 0.0 20.0 0.0 0.0 0.0 0.0
21239 63.3 7.01 0.0 0.0 0.0 0.0 0.0 0.0 29.69 0.0 0.0
21240 73.95 10.24 0.0 10.03 0.22 0.0 4.72 0.0 0.0 0.83 0.0
22174 77.36 14.58 0.0 0.0 8.06 0.0 0.0 0.0 0.0 0.0 0.0
22176 74.66 12.54 0.0 0.0 12.79 0.0 0.0 0.0 0.0 0.0 0.0
22177 79.67 9.65 0.0 0.0 10.67 0.0 0.0 0.0 0.0 0.0 0.0
22178 84.96 9.69 0.0 0.0 5.35 0.0 0.0 0.0 0.0 0.0 0.0
22179 84.79 7.73 0.0 0.0 7.48 0.0 0.0 0.0 0.0 0.0 0.0
22629 71.15 2.09 4.44 16.74 0.0 0.0 2.06 2.17 0.0 1.26 0.0
23605 66.67 25.0 0.0 0.0 0.0 0.0 8.33 0.0 0.0 0.0 0.0
23606 66.67 16.67 0.0 0.0 0.0 0.0 16.67 0.0 0.0 0.0 0.0
23607 66.67 8.33 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0
