 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
216 76.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
236 85.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
238 75.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
240 65.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
242 55.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
245 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
246 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
247 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
252 99.85 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
253 99.57 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
254 99.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
255 99.07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
256 99.92 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
257 99.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
259 90.47 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
260 83.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
261 80.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
262 72.77 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
263 70.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
264 67.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
265 66.49 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
266 59.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
267 57.35 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
268 52.72 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
271 75.0 24.5 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0
273 75.0 21.25 0.0 0.0 0.0 0.0 0.0 3.75 0.0 0.0 0.0
274 75.0 16.25 0.0 0.0 0.0 0.0 0.0 8.75 0.0 0.0 0.0
276 75.0 8.75 0.0 0.0 0.0 0.0 0.0 16.25 0.0 0.0 0.0
277 75.0 3.75 0.0 0.0 0.0 0.0 0.0 21.25 0.0 0.0 0.0
