 SiO2 Na2O Al2O3 B2O3 CaO MgO K2O Li2O PbO BaO ZnO
3497 53.1 0.0 14.67 0.0 0.0 22.27 0.0 0.0 0.0 0.0 0.0
3498 51.0 0.0 14.55 0.0 0.0 22.08 0.0 0.0 0.0 0.0 0.0
3812 83.33 13.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4223 10.03 0.0 0.0 0.0 42.61 0.0 0.0 0.0 0.0 0.0 0.0
4356 50.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4357 45.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4358 10.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4359 60.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4360 65.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4361 60.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4362 55.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4363 55.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4364 50.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4600 76.24 13.31 0.68 0.0 9.44 0.0 0.33 0.0 0.0 0.0 0.0
4602 76.38 5.17 0.78 0.0 0.0 0.0 7.24 0.0 10.42 0.0 0.0
4603 56.13 0.5 8.82 7.54 19.83 7.12 0.06 0.0 0.0 0.0 0.0
4700 41.58 0.0 22.48 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4703 77.1 11.6 0.6 0.0 0.0 0.0 0.0 2.2 0.0 0.0 0.0
6338 70.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0 0.0
6342 65.6 0.0 0.2 0.0 0.0 0.0 0.0 17.9 16.3 0.0 0.0
6356 78.91 0.0 0.35 0.0 0.0 0.0 18.75 0.0 0.0 0.0 0.0
6357 66.7 0.0 0.2 0.0 16.85 0.0 16.25 0.0 0.0 0.0 0.0
7135 71.89 13.29 0.99 0.0 10.21 2.51 1.01 0.0 0.0 0.08 0.0
7136 74.99 9.84 4.72 6.45 2.06 0.0 0.68 0.0 0.0 1.26 0.0
7137 82.85 3.52 1.4 11.44 0.0 0.0 0.79 0.0 0.0 0.0 0.0
7138 95.3 0.0 0.0 4.38 0.0 0.0 0.32 0.0 0.0 0.0 0.0
7140 69.24 17.35 2.31 0.0 5.92 4.34 0.84 0.0 0.0 0.0 0.0
7141 72.27 0.41 2.26 17.41 0.0 0.0 5.72 1.93 0.0 0.0 0.0
7142 78.23 5.97 2.46 10.44 1.68 0.0 1.06 0.0 0.0 0.16 0.0
7146 76.27 7.72 3.36 0.0 0.0 0.0 6.03 1.37 0.0 5.22 0.0
7547 66.67 0.0 14.44 0.0 0.0 0.0 0.0 18.89 0.0 0.0 0.0
7623 15.38 0.0 0.0 7.69 0.0 0.0 76.92 0.0 0.0 0.0 0.0
7686 76.6 23.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
7687 76.6 22.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
8493 60.56 0.0 13.77 0.0 11.38 11.08 0.0 0.0 0.0 0.0 0.0
8494 49.52 0.0 17.02 0.0 8.84 24.61 0.0 0.0 0.0 0.0 0.0
8495 60.97 0.0 22.62 0.0 9.67 6.73 0.0 0.0 0.0 0.0 0.0
8496 71.35 0.0 13.18 0.0 9.12 6.35 0.0 0.0 0.0 0.0 0.0
8497 58.67 0.0 15.08 0.0 18.29 7.95 0.0 0.0 0.0 0.0 0.0
8498 53.46 0.0 13.23 0.0 14.89 14.34 0.0 0.0 0.0 1.67 0.0
8499 56.54 0.0 13.45 0.0 13.97 12.96 0.0 0.0 0.0 0.0 0.0
8818 48.64 0.0 5.21 0.0 0.0 46.15 0.0 0.0 0.0 0.0 0.0
8819 11.71 0.0 76.54 0.0 0.0 11.12 0.0 0.0 0.0 0.0 0.0
8820 46.36 0.0 4.97 0.0 0.0 43.98 0.0 0.0 0.0 0.0 0.0
9046 72.07 14.55 1.18 0.0 8.58 2.98 0.64 0.0 0.0 0.0 0.0
9047 82.18 3.98 1.21 11.52 1.1 0.0 0.0 0.0 0.0 0.0 0.0
9048 72.14 8.1 3.08 5.41 7.84 0.0 2.66 0.0 0.0 0.0 0.77
9058 63.52 15.34 9.17 0.0 0.22 0.6 7.53 3.49 0.0 0.0 0.0
9258 58.45 0.99 12.08 3.54 6.59 18.34 0.0 0.0 0.0 0.0 0.0
9261 75.2 12.15 2.95 0.0 0.0 0.0 1.6 0.0 8.1 0.0 0.0
9697 64.74 0.0 8.55 3.19 3.17 3.17 0.0 0.0 0.15 4.24 12.62
9698 64.84 0.0 8.56 3.2 3.17 3.18 0.0 0.0 0.0 4.26 12.64
9699 66.24 0.0 10.05 2.19 3.16 3.16 0.0 0.0 0.15 4.25 10.62
9700 64.84 0.0 8.56 3.2 6.34 0.0 0.0 0.0 0.0 4.26 12.64
9728 41.26 1.8 11.28 0.0 14.92 4.82 1.59 0.0 0.0 0.0 0.0
9833 57.42 7.24 0.0 17.5 3.64 0.0 3.95 0.0 0.0 0.0 6.0
9838 60.0 17.5 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9846 60.0 0.0 17.5 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0
9848 60.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9850 60.0 17.5 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
9928 57.92 0.0 9.33 6.23 25.16 0.0 0.0 0.0 0.0 0.0 0.0
9929 72.22 12.2 0.7 0.0 14.87 0.0 0.0 0.0 0.0 0.0 0.0
9935 73.24 15.15 0.0 0.0 11.61 0.0 0.0 0.0 0.0 0.0 0.0
9936 73.71 15.41 0.0 0.0 10.88 0.0 0.0 0.0 0.0 0.0 0.0
9937 73.23 16.97 0.0 0.0 9.79 0.0 0.0 0.0 0.0 0.0 0.0
10335 23.24 6.98 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10336 22.45 10.11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10337 21.72 13.05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10338 21.04 15.79 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10339 20.64 17.36 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10340 20.39 18.37 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10341 19.79 20.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10342 19.22 23.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10343 18.17 27.28 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10344 48.31 3.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10345 47.62 4.76 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10346 47.17 5.66 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10347 46.51 6.98 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10348 45.87 8.26 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10349 45.45 9.09 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10350 45.05 9.91 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10351 44.44 11.11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10352 43.48 13.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10353 42.92 14.16 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10354 41.67 16.67 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10356 38.46 23.08 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10357 37.04 25.93 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10358 35.71 28.57 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10359 34.48 31.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10360 33.33 33.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10361 23.91 0.0 0.0 0.0 0.0 0.0 3.62 0.0 0.0 0.0 0.0
10362 23.08 0.0 0.0 0.0 0.0 0.0 6.99 0.0 0.0 0.0 0.0
10363 21.57 0.0 0.0 0.0 0.0 0.0 13.07 0.0 0.0 0.0 0.0
10364 20.89 0.0 0.0 0.0 0.0 0.0 15.82 0.0 0.0 0.0 0.0
10365 20.25 0.0 0.0 0.0 0.0 0.0 18.4 0.0 0.0 0.0 0.0
10366 19.08 0.0 0.0 0.0 0.0 0.0 23.12 0.0 0.0 0.0 0.0
10367 47.62 0.0 0.0 0.0 0.0 0.0 4.76 0.0 0.0 0.0 0.0
10368 45.45 0.0 0.0 0.0 0.0 0.0 9.09 0.0 0.0 0.0 0.0
10369 43.48 0.0 0.0 0.0 0.0 0.0 13.04 0.0 0.0 0.0 0.0
10370 41.67 0.0 0.0 0.0 0.0 0.0 16.67 0.0 0.0 0.0 0.0
10371 40.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0
10527 64.52 14.89 0.0 0.0 19.85 0.0 0.0 0.0 0.0 0.0 0.0
10528 64.04 14.78 0.0 0.0 19.71 0.0 0.0 0.0 0.0 0.0 0.0
10529 63.11 14.57 0.0 0.0 19.42 0.0 0.0 0.0 0.0 0.0 0.0
10530 59.66 13.77 0.0 0.0 18.36 0.0 0.0 0.0 0.0 0.0 0.0
10531 58.07 13.4 0.0 0.0 17.87 0.0 0.0 0.0 0.0 0.0 0.0
10532 56.56 13.05 0.0 0.0 17.41 0.0 0.0 0.0 0.0 0.0 0.0
10533 53.12 12.26 0.0 0.0 16.34 0.0 0.0 0.0 0.0 0.0 0.0
10534 50.07 11.55 0.0 0.0 15.41 0.0 0.0 0.0 0.0 0.0 0.0
11400 62.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12044 61.9 23.81 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12131 74.8 13.7 0.0 0.0 11.5 0.0 0.0 0.0 0.0 0.0 0.0
12208 75.0 0.0 10.0 0.0 5.0 5.0 0.0 0.0 0.0 5.0 0.0
12209 70.0 0.0 15.0 0.0 5.0 5.0 0.0 0.0 0.0 5.0 0.0
12210 65.0 0.0 20.0 0.0 5.0 5.0 0.0 0.0 0.0 5.0 0.0
12211 60.0 0.0 25.0 0.0 5.0 5.0 0.0 0.0 0.0 5.0 0.0
12212 70.0 0.0 10.0 0.0 5.0 10.0 0.0 0.0 0.0 5.0 0.0
12213 65.0 0.0 10.0 0.0 5.0 15.0 0.0 0.0 0.0 5.0 0.0
12214 70.0 0.0 10.0 0.0 10.0 5.0 0.0 0.0 0.0 5.0 0.0
12215 65.0 0.0 10.0 0.0 15.0 5.0 0.0 0.0 0.0 5.0 0.0
