SiO2 Na2O B2O3 CaO Al2O3 K2O Li2O MgO PbO BaO TiO2 GeO2 ZnO "Young's Modulus at RT ( GPa )" "Density at RT ( g/cm3 )"
60.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 60.0 2.515
60.0 32.0 0.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 68.0 2.495
60.0 24.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 2.455
60.0 20.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 74.0 2.44
60.0 17.5 0.0 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 2.45
80.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 61.0 2.38
75.0 20.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0 2.4
70.0 20.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 70.0 2.43
56.0 20.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 78.0 2.46
60.0 0.0 0.0 32.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 92.5 2.71
60.0 0.0 0.0 26.67 13.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 91.25 2.63
60.0 0.0 0.0 20.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 91.25 2.6
60.0 0.0 0.0 22.5 17.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 98.0 2.605
60.0 20.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0 2.52
60.0 32.0 8.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 65.0 2.5
60.0 24.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 84.0 2.46
60.0 17.5 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 87.0 2.5
65.0 15.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 69.0 2.56
64.52 14.89 0.0 19.85 0.0 0.0 0.0 0.0 0.0 0.0 0.74 0.0 0.0 80.1 2.611
64.04 14.78 0.0 19.71 0.0 0.0 0.0 0.0 0.0 0.0 1.47 0.0 0.0 81.6 2.616
59.66 13.77 0.0 18.36 0.0 0.0 0.0 0.0 0.0 0.0 8.21 0.0 0.0 87.1 2.729
58.07 13.4 0.0 17.87 0.0 0.0 0.0 0.0 0.0 0.0 10.66 0.0 0.0 85.1 2.749
56.56 13.05 0.0 17.41 0.0 0.0 0.0 0.0 0.0 0.0 12.98 0.0 0.0 85.6 2.792
53.12 12.26 0.0 16.34 0.0 0.0 0.0 0.0 0.0 0.0 18.28 0.0 0.0 90.5 2.867
50.07 11.55 0.0 15.41 0.0 0.0 0.0 0.0 0.0 0.0 22.97 0.0 0.0 98.4 2.911
80.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 72.9 2.286
77.5 0.0 0.0 0.0 0.0 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0 73.55 2.294
75.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 72.21 2.305
72.5 0.0 0.0 0.0 0.0 0.0 27.5 0.0 0.0 0.0 0.0 0.0 0.0 74.46 2.315
70.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 73.0 2.319
68.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 75.42 2.341
66.7 0.0 0.0 0.0 0.0 0.0 33.3 0.0 0.0 0.0 0.0 0.0 0.0 76.04 2.343
83.33 16.67 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 58.02 2.362
82.0 18.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 60.42 2.365
80.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 58.87 2.397
77.5 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 58.49 2.405
72.5 27.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.93 2.452
70.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 56.4 2.465
66.7 33.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 57.36 2.485
85.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 64.4 2.329
80.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 62.0 2.386
75.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 61.4 2.424
70.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 60.5 2.461
67.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 60.3 2.473
65.0 35.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 60.2 2.489
67.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0 0.0 0.0 0.0 0.0 81.1 2.35
75.0 5.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 77.5 2.34
75.0 10.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 75.3 2.371
75.0 15.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 72.2 2.396
75.0 20.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 68.0 2.417
100.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 69.0 2.203
84.0 0.0 0.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 72.0 2.27
74.0 0.0 0.0 0.0 0.0 0.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 77.0 2.314
68.0 0.0 0.0 0.0 0.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 79.0 2.341
60.0 0.0 0.0 0.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0 82.0 2.378
50.0 26.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 24.0 0.0 0.0 81.52 2.813
55.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 78.36 2.755
40.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 81.56 2.9
45.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0 0.0 78.26 2.831
50.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 73.76 2.764
67.0 21.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.0 0.0 0.0 74.27 2.614
60.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 82.02 2.733
