Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density,,,,Common,,
OR,Young's Modulus,,,,Common,,
OR,Vickers Hardness,,,,Common,,
OR,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,350000,500000
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, Thermal Treatment, Bulk Density ( g/cm3 ), Density (Miscell) ( g/cm3 ), Density at RT ( g/cm3 ), Young's Modulus (Miscell) ( GPa ), Young's Modulus at <0C ( GPa ), Young's Modulus at RT ( GPa ), Fracture Toughness ( MPa.m1/2 ), Vickers Hardness (Typical) ( MPa ), Vickers Hardness 50g ( MPa ), Vickers Hardness 100g ( MPa ), Vickers Hardness 200g ( MPa ), Vickers Hardness 500g ( MPa ), Vickers Hardness (Miscell) ( MPa )
6782, GJ35-368228, Optical Materials, 2015, v. 045  p. 0167, annealed for 6h., , , 4.92, , , , , , , , , , 
6783, GJ35-368229, Optical Materials, 2015, v. 045  p. 0167, annealed for 6h., , , 4.68, , , , , , , , , , 
6784, GJ35-368230, Optical Materials, 2015, v. 045  p. 0167, annealed for 6h., , , 4.54, , , , , , , , , , 
6785, GJ35-368231, Optical Materials, 2015, v. 045  p. 0167, annealed for 6h., , , 4.4, , , , , , , , , , 
6786, GJ20-368232, Optical Materials, 2015, v. 045  p. 0185, annealed at 480C for 1h., , , 4.55, , , , , , , , , , 
6787, GJ20-368233, Optical Materials, 2015, v. 045  p. 0185, annealed at 480C for 1h., , , 4.29, , , , , , , , , , 
6788, GJ20-368234, Optical Materials, 2015, v. 045  p. 0185, annealed at 480C for 1h., , , 4.6, , , , , , , , , , 
6789, GJ20-368235, Optical Materials, 2015, v. 045  p. 0185, annealed at 480C for 1h., , , 4.61, , , , , , , , , , 
6790, GJ20-368236, Optical Materials, 2015, v. 045  p. 0185, annealed at 480C for 1h., , , 4.63, , , , , , , , , , 
6791, GJ10-368241, Optical Materials, 2015, v. 046  p. 0097, annealed at 350C for 12h., , , 4.22, , , , , , , , , , 
6792, GJ50-368242, Optical Materials, 2015, v. 046  p. 0228, annealed at Tg-10C for 5h., , , 4.619, , , , , , , , , , 
6793, GJ50-368243, Optical Materials, 2015, v. 046  p. 0228, annealed at Tg-10C for 5h., , , 4.629, , , , , , , , , , 
6794, GJ50-368244, Optical Materials, 2015, v. 046  p. 0228, annealed at Tg-10C for 5h., , , 4.635, , , , , , , , , , 
6795, GJ50-368245, Optical Materials, 2015, v. 046  p. 0228, annealed at Tg-10C for 5h., , , 4.631, , , , , , , , , , 
6796, GJ50-368246, Optical Materials, 2015, v. 046  p. 0228, annealed at Tg-10C for 5h., , , 4.791, , , , , , , , , , 
6797, GJ50-368247, Optical Materials, 2015, v. 046  p. 0228, annealed at Tg-10C for 5h., , , 4.86, , , , , , , , , , 
6798, GJ50-368248, Optical Materials, 2015, v. 046  p. 0228, annealed at Tg-10C for 5h., , , 4.94, , , , , , , , , , 
6799, GJ50-368249, Optical Materials, 2015, v. 046  p. 0228, annealed at Tg-10C for 5h., , , 4.778, , , , , , , , , , 
6800, GJ20-368251, Optical Materials, 2015, v. 046  p. 0454, , , , 3.785, , , , , , , , , , 
6801, GJ20-368252, Optical Materials, 2015, v. 046  p. 0454, , , , 3.751, , , , , , , , , , 
6802, GJ20-368253, Optical Materials, 2015, v. 046  p. 0454, , , , 3.724, , , , , , , , , , 
6803, GJ28-368256, Optical Materials, 2015, v. 047  p. 0099, annealed at Tg-40C for 10h., , , 5.87, , , 51.0, , , , , , , 
6804, GJ28-368257, Optical Materials, 2015, v. 047  p. 0099, annealed at Tg-40C for 10h., , , 6.07, , , 55.5, , , , , , , 
6805, GJ28-368258, Optical Materials, 2015, v. 047  p. 0099, annealed at Tg-40C for 10h., , , 5.39, , , 58.1, , , , , , , 
6806, GJ28-368259, Optical Materials, 2015, v. 047  p. 0099, annealed at Tg-40C for 10h., , , 5.47, , , 59.5, , , , , , , 
6807, GJ28-368260, Optical Materials, 2015, v. 047  p. 0099, annealed at Tg-40C for 10h., , , 5.49, , , 60.4, , , , , , , 
6808, GJ28-368262, Optical Materials, 2015, v. 047  p. 0149, annealed at Tg-10C for 2h., , , 4.93, , , , , , , , , , 
6809, GJ28-368263, Optical Materials, 2015, v. 047  p. 0149, annealed at Tg-10C for 2h., , , 4.95, , , , , , , , , , 
6810, GJ28-368264, Optical Materials, 2015, v. 047  p. 0149, annealed at Tg-10C for 2h., , , 4.806, , , , , , , , , , 
6811, GJ28-368265, Optical Materials, 2015, v. 047  p. 0149, annealed at Tg-10C for 2h., , , 4.689, , , , , , , , , , 
6812, GJ10-368273, Optical Materials, 2015, v. 047  p. 0276, annealed at 400C., , , 3.381, , , , , , , , , , 
6813, GJ10-368274, Optical Materials, 2015, v. 047  p. 0276, annealed at 400C., , , 3.506, , , , , , , , , , 
6814, GJ10-368275, Optical Materials, 2015, v. 047  p. 0276, annealed at 400C., , , 3.662, , , , , , , , , , 
6815, GJ10-368276, Optical Materials, 2015, v. 047  p. 0276, annealed at 400C., , , 3.763, , , , , , , , , , 
6816, GJ10-368277, Optical Materials, 2015, v. 047  p. 0276, annealed at 400C., , , 3.708, , , , , , , , , , 
6817, GJ10-368278, Optical Materials, 2015, v. 047  p. 0276, annealed at 400C., , , 3.821, , , , , , , , , , 
6818, GJ10-368279, Optical Materials, 2015, v. 047  p. 0276, annealed at 400C., , , 4.001, , , , , , , , , , 
6819, GJ10-368280, Optical Materials, 2015, v. 047  p. 0276, annealed at 400C., , , 4.301, , , , , , , , , , 
6820, GJ10-368281, Optical Materials, 2015, v. 047  p. 0276, annealed at 400C., , , 4.556, , , , , , , , , , 
6821, GJ10-368282, Optical Materials, 2015, v. 047  p. 0276, annealed at 400C., , , 4.88, , , , , , , , , , 
6822, GJ50-368293, Optical Materials, 2015, v. 047  p. 0518, annealed at 160C for 6h., , , 3.43, , , , , , , , , , 
6823, GJ50-368294, Optical Materials, 2015, v. 047  p. 0518, annealed at 160C for 6h., , , 3.22, , , , , , , , , , 
6824, GJ50-368295, Optical Materials, 2015, v. 047  p. 0518, annealed at 160C for 6h., , , 3.2, , , , , , , , , , 
6825, GJ50-368296, Optical Materials, 2015, v. 047  p. 0518, annealed at 160C for 6h., , , 3.25, , , , , , , , , , 
6826, GJ20-368303, Optical Materials, 2015, v. 048  p. 0051, annealed at 350C., , , 3.224, , , , , , , , , , 
6827, GJ20-368308, Optical Materials, 2015, v. 048  p. 0051, annealed at 350C., , , 3.288, , , , , , , , , , 
6828, GJ20-368309, Optical Materials, 2015, v. 048  p. 0051, annealed at 350C., , , 3.397, , , , , , , , , , 
6829, GJ20-368310, Optical Materials, 2015, v. 048  p. 0051, annealed at 350C., , , 3.46, , , , , , , , , , 
6830, GJ20-368311, Optical Materials, 2015, v. 048  p. 0051, annealed at 350C., , , 3.603, , , , , , , , , , 
6831, GJ10-368325, Optical Materials, 2015, v. 049  p. 0241, , , , 2.22, , , , , , , , , , 
6832, GJ10-368326, Optical Materials, 2015, v. 049  p. 0241, , , , 2.48, , , , , , , , , , 
6833, GJ10-368327, Optical Materials, 2015, v. 049  p. 0241, , , , 2.47, , , , , , , , , , 
6834, GJ35-368335, Optical Materials, 2015, v. 050  p. 0110, annealed for several hours., , , 4.776, , , , , , , , , , 
6835, GJ35-368336, Optical Materials, 2015, v. 050  p. 0110, annealed for several hours., , , 4.668, , , , , , , , , , 
6836, GJ35-368337, Optical Materials, 2015, v. 050  p. 0110, annealed for several hours., , , 4.459, , , , , , , , , , 
6837, GJ35-368338, Optical Materials, 2015, v. 050  p. 0110, annealed for several hours., , , 4.38, , , , , , , , , , 
6838, GJ20-368349, Solid State Ionics, 2015, v. 269  p. 0019, , , , 3.27, , , , , , , , , , 
6839, GJ20-368350, Solid State Ionics, 2015, v. 269  p. 0019, , , , 3.15, , , , , , , , , , 
6840, GJ20-368351, Solid State Ionics, 2015, v. 269  p. 0019, , , , 3.07, , , , , , , , , , 
6841, GJ20-368352, Solid State Ionics, 2015, v. 269  p. 0019, , , , 2.94, , , , , , , , , , 
6842, GJ20-368353, Solid State Ionics, 2015, v. 269  p. 0019, , , , 2.83, , , , , , , , , , 
6843, GJ28-368403, J. Non-Crystalline Solids, 2017, v. 472  p. 0031, annealed at 400C for 1h., , , 3.48, , , , , , , , , , 
6844, GJ28-368404, J. Non-Crystalline Solids, 2017, v. 472  p. 0031, annealed at 400C for 1h., , , 3.545, , , , , , , , , , 
6845, GJ28-368405, J. Non-Crystalline Solids, 2017, v. 472  p. 0031, annealed at 400C for 1h., , , 3.585, , , , , , , , , , 
6846, GJ28-368406, J. Non-Crystalline Solids, 2017, v. 472  p. 0031, annealed at 400C for 1h., , , 3.625, , , , , , , , , , 
6847, GJ28-368407, J. Non-Crystalline Solids, 2017, v. 472  p. 0031, annealed at 400C for 1h., , , 3.7, , , , , , , , , , 
6848, GJ28-368408, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , 5.13, , , , , , , , , , 
6849, GJ28-368409, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , 5.3, , , , , , , , , , 
6850, GJ28-368410, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , 5.26, , , , , , , , , , 
6851, GJ28-368411, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , 5.13, , , , , , , , , , 
6852, GJ28-368412, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , 5.05, , , , , , , , , , 
6853, GJ28-368413, J. Non-Crystalline Solids, 2017, v. 472  p. 0039, , , , 4.87, , , , , , , , , , 
6854, GJ05-368415, J. Non-Crystalline Solids, 2017, v. 472  p. 0065, aneealed at 500C for 2h., , , 3.736, , , , , , , , , , 
6855, GJ05-368416, J. Non-Crystalline Solids, 2017, v. 472  p. 0065, aneealed at 500C for 2h., , , 4.273, , , , , , , , , , 
6856, GJ05-368417, J. Non-Crystalline Solids, 2017, v. 472  p. 0065, aneealed at 500C for 2h., , , 4.237, , , , , , , , , , 
6857, GJ05-368418, J. Non-Crystalline Solids, 2017, v. 472  p. 0065, aneealed at 500C for 2h., , , 4.258, , , , , , , , , , 
6858, GJ05-368419, J. Non-Crystalline Solids, 2017, v. 472  p. 0065, aneealed at 500C for 2h., , , 4.276, , , , , , , , , , 
6859, GJ05-368420, J. Non-Crystalline Solids, 2017, v. 472  p. 0065, aneealed at 500C for 2h., , , 3.958, , , , , , , , , , 
6860, GJ05-368421, J. Non-Crystalline Solids, 2017, v. 472  p. 0065, aneealed at 500C for 2h., , , 4.294, , , , , , , , , , 
6861, GJ05-368422, J. Non-Crystalline Solids, 2017, v. 472  p. 0065, aneealed at 500C for 2h., , , 4.32, , , , , , , , , , 
6862, GJ05-368423, J. Non-Crystalline Solids, 2017, v. 472  p. 0065, aneealed at 500C for 2h., , , 4.353, , , , , , , , , , 
6863, GJ02-368433, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.514, , , 73.8, 0.69, 5640.0, , 5640.0, , , 
6864, GJ02-368434, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.503, , , 72.6, 0.71, 5370.0, , 5370.0, , , 
6865, GJ02-368435, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.478, , , 71.9, 0.74, 5020.0, , 5020.0, , , 
6866, GJ02-368436, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.443, , , 68.8, 0.75, 4840.0, , 4840.0, , , 
6867, GJ02-368437, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.56, , , 74.6, 0.68, 5670.0, , 5670.0, , , 
6868, GJ02-368438, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.566, , , 75.7, 0.67, 5780.0, , 5780.0, , , 
6869, GJ02-368439, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.594, , , 76.8, 0.65, 5880.0, , 5880.0, , , 
6870, GJ02-368440, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.605, , , 78.0, 0.63, 5980.0, , 5980.0, , , 
6871, GJ02-368441, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.638, , , 80.1, 0.63, 6100.0, , 6100.0, , , 
6872, GJ02-368442, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.661, , , 81.3, 0.61, 6350.0, , 6350.0, , , 
6873, GJ02-368443, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.519, , , 73.8, 0.72, 5590.0, , 5590.0, , , 
6874, GJ02-368444, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.52, , , 73.4, 0.71, 5590.0, , 5590.0, , , 
6875, GJ02-368445, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.526, , , 73.6, 0.68, 5600.0, , 5600.0, , , 
6876, GJ02-368446, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.525, , , 73.5, 0.68, 5570.0, , 5570.0, , , 
6877, GJ02-368447, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.535, , , 73.6, 0.67, 5510.0, , 5510.0, , , 
6878, GJ02-368448, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, annealed at 550-580C for 1h., , , 2.535, , , 73.5, 0.67, 5480.0, , 5480.0, , , 
6879, GJ28-368455, J. Non-Crystalline Solids, 2017, v. 471  p. 0101, annealed at 400C for 1h., , , 3.48, , , , , , , , , , 
6880, GJ28-368456, J. Non-Crystalline Solids, 2017, v. 471  p. 0101, annealed at 400C for 1h., , , 3.54, , , , , , , , , , 
6881, GJ28-368457, J. Non-Crystalline Solids, 2017, v. 471  p. 0101, annealed at 400C for 1h., , , 3.58, , , , , , , , , , 
6882, GJ28-368458, J. Non-Crystalline Solids, 2017, v. 471  p. 0101, annealed at 400C for 1h., , , 3.625, , , , , , , , , , 
6883, GJ28-368459, J. Non-Crystalline Solids, 2017, v. 471  p. 0101, annealed at 400C for 1h., , , 3.69, , , , , , , , , , 
6884, GJ10-368472, J. Non-Crystalline Solids, 2017, v. 471  p. 0222, annealed at 300C for 5h., , , 3.313, , , , , , , , , , 
6885, GJ10-368473, J. Non-Crystalline Solids, 2017, v. 471  p. 0222, annealed at 300C for 5h., , , 3.34, , , , , , , , , , 
6886, GJ10-368474, J. Non-Crystalline Solids, 2017, v. 471  p. 0222, annealed at 300C for 5h., , , 3.337, , , , , , , , , , 
6887, GJ10-368475, J. Non-Crystalline Solids, 2017, v. 471  p. 0222, annealed at 300C for 5h., , , 3.351, , , , , , , , , , 
6888, GJ10-368476, J. Non-Crystalline Solids, 2017, v. 471  p. 0222, annealed at 300C for 5h., , , 3.364, , , , , , , , , , 
6889, GJ10-368477, J. Non-Crystalline Solids, 2017, v. 471  p. 0222, annealed at 300C for 5h., , , 3.377, , , , , , , , , , 
6890, GJ10-368478, J. Non-Crystalline Solids, 2017, v. 471  p. 0222, annealed at 300C for 5h., , , 3.391, , , , , , , , , , 
6891, GJ10-368479, J. Non-Crystalline Solids, 2017, v. 471  p. 0222, annealed at 300C for 5h., , , 3.417, , , , , , , , , , 
6892, GJ10-368480, J. Non-Crystalline Solids, 2017, v. 471  p. 0222, annealed at 300C for 5h., , , 3.444, , , , , , , , , , 
6893, GJ10-368499, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, annealed at Tg-10C., , , 5.21, , , , , , , , , , 
6894, GJ10-368500, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, annealed at Tg-10C., , , 6.05, , , , , , , , , , 
6895, GJ10-368501, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, annealed at Tg-10C., , , 6.67, , , , , , , , , , 
6896, GJ10-368502, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, annealed at Tg-10C., , , 5.04, , , , , , , , , , 
6897, GJ10-368503, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, annealed at Tg-10C., , , 4.88, , , , , , , , , , 
6898, GJ10-368504, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, annealed at Tg-10C., , , 5.05, , , , , , , , , , 
6899, GJ10-368505, J. Non-Crystalline Solids, 2017, v. 471  p. 0295, annealed at Tg-10C., , , 5.06, , , , , , , , , , 
6900, GJ03-368512, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.642, , , , , , , , , , 
6901, GJ03-368513, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.609, , , , , , , , , , 
6902, GJ03-368514, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.621, , , , , , , , , , 
6903, GJ03-368515, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.667, , , , , , , , , , 
6904, GJ03-368516, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.645, , , , , , , , , , 
6905, GJ03-368517, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.642, , , , , , , , , , 
6906, GJ03-368518, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.599, , , , , , , , , , 
6907, GJ03-368519, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.626, , , , , , , , , , 
6908, GJ03-368520, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.621, , , , , , , , , , 
6909, GJ03-368521, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.616, , , , , , , , , , 
6910, GJ03-368522, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.654, , , , , , , , , , 
6911, GJ03-368523, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.64, , , , , , , , , , 
6912, GJ03-368524, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.635, , , , , , , , , , 
6913, GJ03-368525, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.611, , , , , , , , , , 
6914, GJ03-368526, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.624, , , , , , , , , , 
6915, GJ03-368527, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.649, , , , , , , , , , 
6916, GJ03-368528, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.602, , , , , , , , , , 
6917, GJ03-368529, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.636, , , , , , , , , , 
6918, GJ03-368530, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.61, , , , , , , , , , 
6919, GJ03-368531, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.65, , , , , , , , , , 
6920, GJ03-368532, J. Non-Crystalline Solids, 2017, v. 471  p. 0344, , , , 2.626, , , , , , , , , , 
6921, GJ10-368538, J. Non-Crystalline Solids, 2017, v. 471  p. 0357, annealed at 350C for 1h., , , 2.25, , , , , , , , , , 
6922, GJ10-368539, J. Non-Crystalline Solids, 2017, v. 471  p. 0357, annealed at 350C for 1h., , , 2.31, , , , , , , , , , 
6923, GJ10-368540, J. Non-Crystalline Solids, 2017, v. 471  p. 0357, annealed at 350C for 1h., , , 2.18, , , , , , , , , , 
6924, GJ10-368541, J. Non-Crystalline Solids, 2017, v. 471  p. 0357, annealed at 350C for 1h., , , 2.12, , , , , , , , , , 
6925, GJ10-368542, J. Non-Crystalline Solids, 2017, v. 471  p. 0357, annealed at 350C for 1h., , , 2.14, , , , , , , , , , 
6926, GJ10-368543, J. Non-Crystalline Solids, 2017, v. 471  p. 0357, annealed at 350C for 1h., , , 2.22, , , , , , , , , , 
6927, GJ10-368544, J. Non-Crystalline Solids, 2017, v. 471  p. 0357, annealed at 350C for 1h., , , 2.25, , , , , , , , , , 
6928, GJ20-368578, J. Non-Crystalline Solids, 2017, v. 471  p. 0476, annealed at 350C., , , 3.98, , , , , , , , , , 
6929, GJ20-368579, J. Non-Crystalline Solids, 2017, v. 471  p. 0476, annealed at 350C., , , 4.19, , , , , , , , , , 
6930, GJ20-368580, J. Non-Crystalline Solids, 2017, v. 471  p. 0476, annealed at 350C., , , 4.383, , , , , , , , , , 
6931, GJ02-368581, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, , , , 2.49, , , 65.0, , , , , , , 
6932, GJ02-368582, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, , , , , , , *, , , , , , , 
6933, GJ06-368583, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, , , , , , , *, , , , , , , 
6934, GJ02-368584, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, , , , , *, , *, , , , , , , 
6935, GJ02-368585, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, , , , , *, , *, , , , , , , 
6936, GJ02-368586, J. Non-Crystalline Solids, 2016, v. 432  p. 0177, , , , , *, , *, , , , , , , 
6937, CJ01-368588, J. Non-Crystalline Solids, 2016, v. 432  p. 0189, , , , 0.0882, , , , , , , , , , 
6938, GJ10-368591, J. Non-Crystalline Solids, 2016, v. 432  p. 0208, , , , 2.201, , , , , , , , , , 
6939, GJ10-368596, J. Non-Crystalline Solids, 2016, v. 432  p. 0208, , , , 2.366, , , , , , , , , , 
6940, GJ10-368597, J. Non-Crystalline Solids, 2016, v. 432  p. 0208, , , , 2.351, , , , , , , , , , 
6941, GJ10-368604, J. Non-Crystalline Solids, 2016, v. 432  p. 0208, , , , 2.466, , , , , , , , , , 
6942, GJ10-368605, J. Non-Crystalline Solids, 2016, v. 432  p. 0208, , , , 2.464, , , , , , , , , , 
6943, GJ50-368621, J. Non-Crystalline Solids, 2016, v. 432  p. 0232, annealed at Tg-20C for 3h., , , 5.0, , , , , , , , , , 
6944, GJ50-368622, J. Non-Crystalline Solids, 2016, v. 432  p. 0232, annealed at Tg-20C for 3h., , , 5.21, , , , , , , , , , 
6945, GJ50-368623, J. Non-Crystalline Solids, 2016, v. 432  p. 0232, annealed at Tg-20C for 3h., , , 5.2, , , , , , , , , , 
6946, GJ50-368624, J. Non-Crystalline Solids, 2016, v. 432  p. 0232, annealed at Tg-20C for 3h., , , 5.0, , , , , , , , , , 
6947, GJ50-368625, J. Non-Crystalline Solids, 2016, v. 432  p. 0232, annealed at Tg-20C for 3h., , , 5.2, , , , , , , , , , 
6948, GJ50-368626, J. Non-Crystalline Solids, 2016, v. 432  p. 0232, annealed at Tg-20C for 3h., , , 5.19, , , , , , , , , , 
6949, GJ50-368627, J. Non-Crystalline Solids, 2016, v. 432  p. 0232, annealed at Tg-20C for 3h., , , 5.19, , , , , , , , , , 
6950, XJ06-368632, J. Non-Crystalline Solids, 2016, v. 432  p. 0265, annealed at 680C for 2h.  1000C 6h, , , 2.497, , , , , 7030.0, , , , 7030.0, 
6951, XJ06-368633, J. Non-Crystalline Solids, 2016, v. 432  p. 0265, annealed at 680C for 2h.  1000C 6h, , , 2.53, , , , , 7850.0, , , , 7850.0, 
6952, XJ06-368634, J. Non-Crystalline Solids, 2016, v. 432  p. 0265, annealed at 680C for 2h.  1000C 6h, , , 2.567, , , , , 7590.0, , , , 7590.0, 
6953, XJ06-368635, J. Non-Crystalline Solids, 2016, v. 432  p. 0265, annealed at 680C for 2h.  1000C 6h, , , 2.595, , , , , 7610.0, , , , 7610.0, 
6954, TJ30-368648, J. Non-Crystalline Solids, 2016, v. 432  p. 0292, annealed at 573K in Ar., , , 3.28, , , , , , , , , , 
6955, GJ06-368649, J. Non-Crystalline Solids, 2016, v. 432  p. 0300, , , , 2.725, , , , , , , , , , 
6956, XJ06-368650, J. Non-Crystalline Solids, 2016, v. 432  p. 0300, , , , 2.88, , , , , , , , , , 
6957, GJ06-368651, J. Non-Crystalline Solids, 2016, v. 432  p. 0300, , , , 2.84, , , , , , , , , , 
6958, XJ06-368652, J. Non-Crystalline Solids, 2016, v. 432  p. 0300, , , , 2.96, , , , , , , , , , 
6959, GJ06-368653, J. Non-Crystalline Solids, 2016, v. 432  p. 0300, , , , 2.96, , , , , , , , , , 
6960, XJ06-368654, J. Non-Crystalline Solids, 2016, v. 432  p. 0300, , , , 3.1, , , , , , , , , , 
6961, GJ06-368655, J. Non-Crystalline Solids, 2016, v. 432  p. 0300, , , , 3.025, , , , , , , , , , 
6962, XJ06-368656, J. Non-Crystalline Solids, 2016, v. 432  p. 0300, , , , 3.17, , , , , , , , , , 
6963, GJ10-368657, J. Non-Crystalline Solids, 2016, v. 432  p. 0319, annealed at 300C for 6h., , , 2.809, , , , , , , , , , 
6964, GJ10-368658, J. Non-Crystalline Solids, 2016, v. 432  p. 0319, annealed at 300C for 6h., , , 2.872, , , , , , , , , , 
6965, GJ10-368659, J. Non-Crystalline Solids, 2016, v. 432  p. 0319, annealed at 300C for 6h., , , 3.001, , , , , , , , , , 
6966, GJ10-368660, J. Non-Crystalline Solids, 2016, v. 432  p. 0319, annealed at 300C for 6h., , , 3.125, , , , , , , , , , 
6967, GJ10-368661, J. Non-Crystalline Solids, 2016, v. 432  p. 0319, annealed at 300C for 6h., , , 3.202, , , , , , , , , , 
6968, GJ10-368662, J. Non-Crystalline Solids, 2016, v. 432  p. 0319, annealed at 300C for 6h., , , 3.311, , , , , , , , , , 
6969, GJ10-368679, J. Non-Crystalline Solids, 2016, v. 432  p. 0393, annealed at 400C for 6h., , , 2.56, , , , , , , , , , 
6970, GJ10-368680, J. Non-Crystalline Solids, 2016, v. 432  p. 0393, annealed at 400C for 6h., , , 2.61, , , , , , , , , , 
6971, GJ10-368681, J. Non-Crystalline Solids, 2016, v. 432  p. 0393, annealed at 400C for 6h., , , 2.63, , , , , , , , , , 
6972, GJ10-368682, J. Non-Crystalline Solids, 2016, v. 432  p. 0393, annealed at 400C for 6h., , , 2.64, , , , , , , , , , 
6973, GJ10-368705, J. Non-Crystalline Solids, 2016, v. 432  p. 0480, , , , 2.55, , , , , , , , , , 
6974, GJ10-368706, J. Non-Crystalline Solids, 2016, v. 432  p. 0480, , , , 2.64, , , , , , , , , , 
6975, GJ10-368707, J. Non-Crystalline Solids, 2016, v. 432  p. 0480, , , , 2.36, , , , , , , , , , 
6976, GJ10-368708, J. Non-Crystalline Solids, 2016, v. 432  p. 0480, , , , 2.43, , , , , , , , , , 
6977, GJ50-368715, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.949, , , , , , , , , , 
6978, GJ50-368718, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.958, , , , , , , , , , 
6979, GJ50-368719, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.871, , , , , , , , , , 
6980, GJ50-368721, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.955, , , , , , , , , , 
6981, GJ50-368723, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.745, , , , , , , , , , 
6982, GJ50-368725, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.631, , , , , , , , , , 
6983, GJ50-368727, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.298, , , , , , , , , , 
6984, GJ50-368729, J. Non-Crystalline Solids, 2016, v. 432  p. 0527, , , , 5.447, , , , , , , , , , 
