Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Rb2O, Ag2O, Cs2O, MnO, CoO, CuO, ZnO, SrO, PbO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Nd2O3, Gd2O3, Bi2O3, TiO2, MnO2, GeO2, ZrO2, CeO2, SnO2, TeO2, P2O5, Nb2O5, Ta2O5, HfO2, Nb2O3, SO3, WO3, H2O, Sm2O3, Eu2O3, Tb2O3, Er2O3, Yb2O3, Pr2O3, R2O, RO, R2O3, LiF, NaF, KF, MgF2, CaF2, SrF2, BaF2, ZnF2, AlF3, KHF2, BaCl2, Li, B, N, O, F, Na, Mg, Al, Si, P, Cl, K, Ca, Ti, V, Cr, Mn, Fe, Cu, Zn, As, Sr, Y, Sb, Ba, Ce, Nd, Er, Yb, Pt, Pb, Bi, Sr(PO3)2, Ca3(PO4)2, NaPO3, Zn(PO3)2, CaAl2Si2O8, AlN, SiC, Si3N4, Organic Compound, 2MgO-2Al2O3-5SiO2, Others, Fracture Toughness ( MPa.m1/2 )
15, GI10-008290, Proc. ICG, 1983, v. 002  p. 1112, , 60.0, , , , , , , , , , , , , , 20.0, , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.788
16, GI10-008291, Proc. ICG, 1983, v. 002  p. 1112, , 70.0, , , , , , , , , , , , , , 7.5, , 22.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.768
17, GI10-008292, Proc. ICG, 1983, v. 002  p. 1112, , 70.0, , , , , , , , , , , , , , 15.0, , 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.851
18, GI10-008293, Proc. ICG, 1983, v. 002  p. 1112, , 70.0, , , , , , , , , , , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.633
19, GI10-008294, Proc. ICG, 1983, v. 002  p. 1112, , 60.0, , , , , , , , , , , , , , , , 40.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.495
20, GI10-008295, Proc. ICG, 1983, v. 002  p. 1112, , 50.0, , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.403
21, GI10-008296, Proc. ICG, 1983, v. 002  p. 1112, , 40.0, , , , , , , , , , , , , , 60.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.804
22, GI10-008297, Proc. ICG, 1983, v. 002  p. 1112, , 40.0, , , , , , , , , , , , , , , , 60.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.361
23, GI10-008298, Proc. ICG, 1983, v. 002  p. 1112, , 30.0, , , , , , , , , , , , , , , , 70.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.237
24, GI01-008299, Proc. ICG, 1983, v. 002  p. 1112, 100.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.795
25, GI02-008300, Proc. ICG, 1983, v. 002  p. 1112, 80.0, , , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.679
26, GI02-008301, Proc. ICG, 1983, v. 002  p. 1112, 90.0, , , , , , , 10.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.834
27, GI20-008302, Proc. ICG, 1983, v. 002  p. 1112, , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.449
28, GI20-008303, Proc. ICG, 1983, v. 002  p. 1112, , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.497
29, GI20-008304, Proc. ICG, 1983, v. 002  p. 1112, , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.532
30, GI20-008305, Proc. ICG, 1983, v. 002  p. 1112, , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.544
31, GJ10-010138, J. American Ceramic Soc., 1980, v. 063  p. 0286, , 80.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.92
32, GJ05-010139, J. American Ceramic Soc., 1980, v. 063  p. 0286, 10.0, 70.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.83
33, GJ05-010140, J. American Ceramic Soc., 1980, v. 063  p. 0286, 20.0, 60.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.82
34, GJ05-010141, J. American Ceramic Soc., 1980, v. 063  p. 0286, 30.0, 50.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.0
35, GJ05-010142, J. American Ceramic Soc., 1980, v. 063  p. 0286, 40.0, 40.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.01
36, GJ05-010143, J. American Ceramic Soc., 1980, v. 063  p. 0286, 50.0, 30.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.02
37, GJ05-010144, J. American Ceramic Soc., 1980, v. 063  p. 0286, 60.0, 20.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.08
38, GJ05-010145, J. American Ceramic Soc., 1980, v. 063  p. 0286, 70.0, 10.0, , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.92
39, GJ02-010146, J. American Ceramic Soc., 1980, v. 063  p. 0286, 80.0, , , , , , , 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.86
40, GJ03-010182, J. American Ceramic Soc., 1988, v. 071  p. 0386, 59.57, , 15.04, 22.83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.55, , , , , 1.54
41, GJ03-010183, J. American Ceramic Soc., 1988, v. 071  p. 0386, 57.38, , 14.91, 22.64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.06, , , , , 1.65
42, GJ03-010184, J. American Ceramic Soc., 1988, v. 071  p. 0386, 55.22, , 14.79, 22.45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7.54, , , , , 1.79
43, GJ03-010185, J. American Ceramic Soc., 1988, v. 071  p. 0386, 53.1, , 14.67, 22.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 9.96, , , , , 1.69
44, GJ03-010186, J. American Ceramic Soc., 1988, v. 071  p. 0386, 51.0, , 14.55, 22.08, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 12.37, , , , , 1.65
45, GJ20-014829, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 50.0, , 0.0, , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15.0, , , 35.0, , , , , , , 1.07
46, GJ20-014830, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 45.0, , *, , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15.0, , , 40.0, , , , , , , 1.15
47, GJ20-014831, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 10.0, , 25.0, , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 65.0, , , , , , , , , , 1.47
48, GJ20-014832, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 60.0, , 30.0, , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10.0, , , , , , , , , , 1.43
49, GJ20-014833, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 65.0, , 20.0, , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15.0, , , , , , , , , , 1.1
50, GJ20-014834, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 60.0, , 25.0, , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15.0, , , , , , , , , , 1.25
51, GJ20-014835, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 55.0, , 30.0, , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15.0, , , , , , , , , , 1.23
52, GJ20-014836, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 55.0, , 25.0, , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 20.0, , , , , , , , , , 0.99
53, GJ20-014837, J. Ceramic Soc. Japan, 1985, v. 093  p. 0433, 50.0, , 30.0, , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 20.0, , , , , , , , , , 1.1
54, GJ02-015710, J. American Ceramic Soc., 1987, v. 070  p. C002, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 52.63, 7.02, 7.02, , , 21.05, , , 3.51, 8.77, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.77
