Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Fracture Toughness,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, Rb2O, Ag2O, Cs2O, MnO, CoO, CuO, ZnO, SrO, PbO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Nd2O3, Gd2O3, Bi2O3, TiO2, MnO2, GeO2, ZrO2, CeO2, SnO2, TeO2, P2O5, Nb2O5, Ta2O5, HfO2, Nb2O3, SO3, WO3, H2O, Sm2O3, Eu2O3, Tb2O3, Er2O3, Yb2O3, Pr2O3, R2O, RO, R2O3, LiF, NaF, KF, MgF2, CaF2, SrF2, BaF2, ZnF2, AlF3, KHF2, BaCl2, Li, B, N, O, F, Na, Mg, Al, Si, P, Cl, K, Ca, Ti, V, Cr, Mn, Fe, Cu, Zn, As, Sr, Y, Sb, Ba, Ce, Nd, Er, Yb, Pt, Pb, Bi, Sr(PO3)2, Ca3(PO4)2, NaPO3, Zn(PO3)2, CaAl2Si2O8, AlN, SiC, Si3N4, Organic Compound, 2MgO-2Al2O3-5SiO2, Others, Fracture Toughness ( MPa.m1/2 )
435, GJ03-156505, Glass Technology, 1994, v. 035  p. 0276, 55.0, , , , 40.0, , , , , , , , , , , , , , , , , , , , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.83
436, GJ03-156506, Glass Technology, 1994, v. 035  p. 0276, 40.0, , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.98
437, GJ03-156507, Glass Technology, 1994, v. 035  p. 0276, 30.0, , , , 40.0, , , , , , , , , , , , , , , , , , , , , , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.86
438, GJ20-157109, J. Materials Science Letters, 1994, v. 013  p. 0227, , , , , 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 70.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.6
439, GJ20-157110, J. Materials Science Letters, 1994, v. 013  p. 0227, , , , 10.0, 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 60.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.87
440, GJ20-157111, J. Materials Science Letters, 1994, v. 013  p. 0227, , , , 20.0, 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.19
441, GJ20-157112, J. Materials Science Letters, 1994, v. 013  p. 0227, , , , 25.0, 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 45.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.37
442, GJ20-157113, J. Materials Science Letters, 1994, v. 013  p. 0227, , , , 30.0, 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 40.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.45
443, GJ20-157114, J. Materials Science Letters, 1994, v. 013  p. 0227, , , , 35.0, 30.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 35.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.46
444, GJ20-157394, Glass Physics & Chemistry, 1993, v. 019  p. 0380, , , 16.7, , , , , , , , , 16.7, , , , , , , , , , , , , , , 2.0, , , , , , , , , , 66.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.68
445, GJ20-157395, Glass Physics & Chemistry, 1993, v. 019  p. 0380, , , 16.7, , , , , , , 16.7, , , , , , , , , , , , , , , , , 2.0, , , , , , , , , , 66.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.63
446, GJ20-157396, Glass Physics & Chemistry, 1993, v. 019  p. 0380, , , 16.7, , , , , , 16.7, , , , , , , , , , , , , , , , , , 2.0, , , , , , , , , , 66.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.6
447, GJ20-157397, Glass Physics & Chemistry, 1993, v. 019  p. 0380, , , 16.7, , , , , 16.7, , , , , , , , , , , , , , , , , , , 2.0, , , , , , , , , , 66.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.65
448, GJ20-157398, Glass Physics & Chemistry, 1993, v. 019  p. 0380, , , 16.7, , , , 16.7, , , , , , , , , , , , , , , , , , , , 2.0, , , , , , , , , , 66.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.76
449, GJ20-157399, Glass Physics & Chemistry, 1993, v. 019  p. 0380, , , 8.3, , , , , , 33.3, , , , , , , , , , , , , , , , , , 2.0, , , , , , , , , , 58.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.33
450, GJ20-157558, J. Materials Science, 1994, v. 029  p. 0824, , 5.0, , , 47.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 47.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.554
451, GJ20-157559, J. Materials Science, 1994, v. 029  p. 0824, , 15.0, , , 42.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 42.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.537
452, GJ20-157560, J. Materials Science, 1994, v. 029  p. 0824, , 20.0, , , 40.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 40.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.626
453, GJ20-157561, J. Materials Science, 1994, v. 029  p. 0824, , 25.0, , , 37.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 37.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.666
454, GJ20-157562, J. Materials Science, 1994, v. 029  p. 0824, , 35.0, , , 32.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 32.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.704
455, GJ20-157563, J. Materials Science, 1994, v. 029  p. 0824, , 20.0, 6.0, , 37.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 37.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.711
456, GJ20-157564, J. Materials Science, 1994, v. 029  p. 0824, 6.0, 20.0, , , 37.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 37.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.59
457, GJ01-159742, J. American Ceramic Soc., 1995, v. 078  p. 0114, 100.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.787
458, GJ05-159743, J. American Ceramic Soc., 1995, v. 078  p. 0114, 85.0, 13.3, 0.5, , , , , 1.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.709
459, GJ05-159744, J. American Ceramic Soc., 1995, v. 078  p. 0114, 80.8, 12.0, 2.0, 0.2, 0.2, , , 4.2, 0.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.792
460, GJ05-159745, J. American Ceramic Soc., 1995, v. 078  p. 0114, 75.0, 12.7, 2.4, , , , , 4.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.829
461, GJ05-159746, J. American Ceramic Soc., 1995, v. 078  p. 0114, 71.0, 17.0, 4.8, , , , , 5.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.787
462, GJ20-160342, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 4.5, , 27.5, , , , , , , , , , , , , , , , , , , , , , , , 0.8, , , , , , , , , , 67.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.68
463, GJ20-160343, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 1.7, , 28.9, , , , , , 2.9, , , , , , , , , , , , , , , , , , 1.2, , , , , , , , , , 65.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.66
464, GJ20-160344, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 1.6, , 25.5, , , , , , 6.4, , , , , , , , , , , , , , , , , , 1.0, , , , , , , , , , 65.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.53
465, GJ20-160345, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 0.9, , 19.8, , , , , , 12.6, , , , , , , , , , , , , , , , , , 0.6, , , , , , , , , , 65.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.53
466, GJ20-160346, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 1.0, , 16.2, , , , , , 16.8, , , , , , , , , , , , , , , , , , 0.9, , , , , , , , , , 65.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.49
467, GJ20-160347, Glass Physics & Chemistry, 1995, v. 021  p. 0115, 0.6, , 14.3, , , , , , 20.8, , , , , , , , , , , , , , , , , , 0.8, , , , , , , , , , 63.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.58
468, GJ20-160348, Glass Physics & Chemistry, 1995, v. 021  p. 0115, , , 8.33, , , , , , 33.33, , , , , , , , , , , , , , , , , , , , , , , , , , , , 58.34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.56
469, GJ03-162129, J. Non-Crystalline Solids, 1995, v. 191  p. 0311, 38.15, , , 7.15, 47.01, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.48
470, GJ03-162130, J. Non-Crystalline Solids, 1995, v. 191  p. 0311, 38.15, , , , 54.16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.57
471, GJ03-162131, J. Non-Crystalline Solids, 1995, v. 191  p. 0311, 38.15, , , , 47.01, , , , , , , , , , , , 7.15, , , , , , , , , , , , , , , , , , , , 7.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.47
472, GJ03-162132, J. Non-Crystalline Solids, 1995, v. 191  p. 0311, 35.42, , , 7.15, 50.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 7.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , *
473, GJ03-162133, J. Non-Crystalline Solids, 1995, v. 191  p. 0311, 32.96, , , 13.61, 46.79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6.64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.45
474, GJ03-162134, J. Non-Crystalline Solids, 1995, v. 191  p. 0311, 28.18, , , 25.36, 40.78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.46
475, GP03-163299, Japanese Patent    Corning Inc. (US), 1995, A232931, 50.8, , , , 22.18, , , 6.78, 3.49, , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15.58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.11
476, GP03-163300, Japanese Patent    Corning Inc. (US), 1995, A232931, 44.35, , , , 26.33, , , 6.85, 3.42, , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 15.78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.86
477, GP20-164628, European Patent    Schott Corp. (US), 1995, A0665992, , , 4.0, , , 15.0, , , 15.0, , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , 63.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.45
478, GP20-164629, European Patent    Schott Corp. (US), 1995, A0665992, , , 4.0, , , 18.8, , , 18.8, , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , 55.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.4
479, GP20-164630, European Patent    Schott Corp. (US), 1995, A0665992, , , 8.0, , , 13.0, , , 13.0, , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , 63.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.45
480, GP20-164631, European Patent    Schott Corp. (US), 1995, A0665992, , , 8.0, 15.0, , , , , 15.0, , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , 59.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.49
481, GP20-164632, European Patent    Schott Corp. (US), 1995, A0665992, , , 4.0, 15.0, , , 15.0, , , , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , 63.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.69
482, GP20-164633, European Patent    Schott Corp. (US), 1995, A0665992, 8.0, , , , , 15.0, , , 15.0, , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , 59.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.39
483, GP20-164634, European Patent    Schott Corp. (US), 1995, A0665992, , 8.0, , , , 15.0, , , 15.0, , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , 59.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.42
484, GP20-164635, European Patent    Schott Corp. (US), 1995, A0665992, , , 8.8, , , 13.7, , , 17.1, , , , , , , , , , , , , , , , , , 3.0, , , , , , , , , , 57.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.4
485, GP20-164636, European Patent    Schott Corp. (US), 1995, A0665992, , , 4.0, , 14.0, , , , 14.0, , , , , , , , , , , , , , 0.1, , , , 3.0, , , , , , , , , , 65.0, 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.55
486, GP20-164637, European Patent    Schott Corp. (US), 1995, A0665992, , , 4.0, 5.0, 5.0, , , , 18.0, , , , , , , , , , , , , , 0.1, , , , 3.0, , , , , , , , , , 65.0, 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.64
487, GP20-169630, US Patent    Schott Corp. (US), 1996, A5526369, , , , , , 15.0, , , 15.0, , , , , , , , , , , , , , , , , 1.5, 1.5, , , , , , , , , , 67.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.54
488, GP20-169631, US Patent    Schott Corp. (US), 1996, A5526369, , , 12.0, , , 15.0, , , 15.0, , , , , , , , , , , , , , , , , 1.5, 1.5, , , , , , , , , , 55.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.33
489, GP20-169632, US Patent    Schott Corp. (US), 1996, A5526369, , , 12.0, , , 11.0, , , 11.0, , , , , , , , , , , , , , , , , 1.5, 1.5, , , , , , , , , , 63.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.58
490, GP20-169633, US Patent    Schott Corp. (US), 1996, A5526369, , , 8.0, , , 19.0, , , 19.0, , , , , , , , , , , , , , , , , 1.5, 1.5, , , , , , , , , , 55.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.32
491, GP20-169634, US Patent    Schott Corp. (US), 1996, A5526369, , , 8.0, 15.0, , , , , 15.0, , , , , , , , , , , , , , , , , 1.5, 1.5, , , , , , , , , , 59.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.49
492, GP20-169635, US Patent    Schott Corp. (US), 1996, A5526369, , , 4.0, 15.0, , , 15.0, , , , , , , , , , , , , , , , , , , 1.5, 1.5, , , , , , , , , , 63.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.69
493, GP20-169636, US Patent    Schott Corp. (US), 1996, A5526369, 6.0, , 8.0, , , 15.0, , , 15.0, , , , , , , , , , , , , , , , , 1.5, 1.5, , , , , , , , , , 53.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.38
494, GP20-169637, US Patent    Schott Corp. (US), 1996, A5526369, , 12.0, 8.0, , , 15.0, , , 15.0, , , , , , , , , , , , , , , , , 1.5, 1.5, , , , , , , , , , 47.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.29
495, GP20-169638, US Patent    Schott Corp. (US), 1996, A5526369, 16.0, , , , , 15.0, , , 15.0, , , , , , , , , , , , , , , , , 1.5, 1.5, , , , , , , , , , 51.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.77
496, GP20-169639, US Patent    Schott Corp. (US), 1996, A5526369, , , 12.0, 15.0, , , , , 15.0, , , , , , , , , , , , , , , , , 1.5, 1.5, , , , , , , , , , 55.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.47
497, GJ05-171612, J. Materials Science, 1997, v. 032  p. 5851, 66.54, 12.39, , , , , 10.53, 10.53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.69
498, GJ05-171613, J. Materials Science, 1997, v. 032  p. 5851, 62.87, 12.91, , , 3.39, , , 11.44, , , , , , , , 5.83, , , , , , , , , , , , , , 3.57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.65
499, GJ05-171615, J. Materials Science, 1997, v. 032  p. 5851, 57.84, 12.5, 1.74, 3.23, 5.38, , 9.31, 6.21, , , , , , , , , , , , , , , , , , , , , , 3.78, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.98
500, GJ05-171616, J. Materials Science, 1997, v. 032  p. 5851, 56.72, 15.07, 3.6, , 5.42, , 4.98, 11.92, , , , , , , , 2.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.95
501, GJ05-171617, J. Materials Science, 1997, v. 032  p. 5851, 59.48, 9.65, 0.96, 5.0, 4.9, , , 17.25, , , , , , , , , , , , , , , , , , , , , , 2.75, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.84
502, GJ05-171620, J. Materials Science, 1997, v. 032  p. 5851, 40.71, 16.42, , 4.57, 13.26, , 7.6, 7.34, 2.41, , , , , , 3.55, , , , , , , , , , , , , , , 1.84, , , 2.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.97
503, GJ06-173167, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 45.0, , 30.0, 10.0, 15.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.3
504, GJ38-173168, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 44.4, , 29.6, 9.87, 14.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.3
505, GJ38-173169, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 43.73, , 29.15, 9.72, 14.58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.3
506, GJ38-173170, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 43.2, , 28.8, 9.6, 14.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.3
507, GJ38-173171, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 42.62, , 28.41, 9.47, 14.21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 5.29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.6
508, GJ38-173172, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 41.97, , 27.98, 9.33, 13.99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 6.74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.3
509, GJ06-173173, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 45.0, , 30.0, 5.0, 20.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.3
510, GJ38-173174, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 44.45, , 29.64, 4.94, 19.76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.25
511, GJ38-173175, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 43.78, , 29.19, 4.86, 19.46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.2
512, GJ38-173176, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 43.51, , 29.01, 4.83, 19.34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.35
513, GJ38-173177, J. Non-Crystalline Solids, 1997, v. 217  p. 0066, 42.77, , 28.51, 4.75, 19.01, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.95, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 1.3
