Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Gd2O3, TiO2, ZrO2, CeO2, SnO2, TeO2, P2O5, V2O5, Nb2O5, Ta2O5, HfO2, SO3, WO3, GeS2, OH, Tb2O3, MgF2, CaF2, SrF2, AlF3, SrCl2, CdCl2, PbCl2, N, O, F, Al, Si, Cl, Co, Y, Sb, La, Pr, Nd, Tb, Dy, Ho, Er, Sr(PO3)2, Sb2S3, AlN, Density at RT ( g/cm3 ), Young's Modulus at RT ( GPa ), Vickers Hardness 100g ( MPa )
20, MP06-102176, Japanese Patent, 1989, A239036, 70.82, 1.91, 5.54, , , 0.43, 2.22, 8.58, 4.94, 2.2, , , , , , 0.1, , , , , 0.83, 2.43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.57, 98.0, 6566.0
21, GI10-152478R, NGF's Additional New Data (J), 2001, v. 004  p. 0009, , 45.04, , , 12.4, , , , , , , , , , , , , , 17.85, , 8.64, 5.3, , , , , , 9.15, 1.62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4.425, 120.8, 6575.8
22, GI06-190608R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 40.07, , 14.93, , 14.86, , , 15.07, 14.83, , , , , , , 0.24, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.64, 77.66, 5507.6
23, GI06-190613R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 50.12, , 14.74, , 14.94, , , 10.05, 9.95, , , , , , , 0.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.6, 77.98, 5752.6
24, GI02-190618R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 60.07, , 9.89, , 10.03, , , 9.83, 10.0, , , , , , , 0.18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.54, 73.02, 5370.4
25, GI06-190631R, NGF's Additional New Data (J), 2000, v. 002  p. 0001, 65.24, , 9.67, , , , 10.0, 10.19, , , , , , , , 0.19, , , , , , 4.71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.56, 84.27, 5899.6
26, GI02-190644R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 75.02, , 3.01, , , , 19.98, , 1.99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.34, 74.88, 5047.0
27, GI02-190648R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 62.54, , 4.36, , 11.64, , , 14.98, 4.96, , , , , , , , , , , , , 1.52, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.6, 71.49, 5233.2
28, GI03-190654R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 57.38, 6.86, 11.01, 5.59, 19.16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.57, 85.04, 5889.8
29, GI05-190659R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 78.73, 14.46, , , , , , 3.87, 0.87, , , , , , , , , , , , 2.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.25, 62.12, 5233.2
30, GI05-190663R, NGF's Additional New Data (J), 2000, v. 002  p. 0003, 75.72, 10.52, 5.12, , 1.02, 1.0, , 6.62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.35, 66.63, 5066.6
31, GI05-190680R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 50.5, 19.15, , , 9.83, , , 10.34, 10.18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.56, 77.33, 5380.2
32, GI03-190703R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 45.92, , 0.27, , 43.89, , , 4.62, , , , , , , , , , , , , , , , , , 5.04, , , , , , , , , , , 0.26, , , , , , , , , , , , , , , , , , , , , , , , , 2.82, 83.07, 5350.8
33, GI03-190713R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 46.13, , , , 27.06, , , 23.74, , , , , , , , , , , , , , , , , , 3.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.72, 77.07, 4978.4
34, GI03-190714R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 45.93, , , , 24.25, , , 23.85, , , , , , , , , , , , , , , , , , 2.9, , , , , , , , , , , 3.07, , , , , , , , , , , , , , , , , , , , , , , , , 2.69, 74.11, 4625.6
35, GI03-190715R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 31.19, 13.82, , , 27.91, , , 24.03, , , , , , , , , , , , , , , , , , 3.05, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.69, 75.53, 4557.0
36, GI03-190716R, NGF's Additional New Data (J), 2000, v. 002  p. 0005, 53.37, , , , 23.15, , , 20.41, , , , , , , , , , , , , , , , , , 3.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.67, 74.46, 4949.0
37, GI06-190747R, NGF's Additional New Data (J), 2000, v. 002  p. 0007, 63.2, , 9.86, 5.17, , , 9.91, 10.72, , , , , , , , 0.22, , , , , , , , , , , , , , , , , , , 0.92, , , , , , , , , , , , , , , , , , , , , , , , , , , 2.56, 82.0, 5517.4
38, GI06-191642R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 66.02, , 9.87, , , , 24.11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.39, 82.4, 5733.0
39, GI06-191644, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 63.94, , 7.46, , , , 28.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.39, 82.7, 5527.2
40, GI06-191645R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.61, , 25.01, , , , 14.18, 0.1, , , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.46, 88.6, 6977.6
41, GI06-191649R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 65.94, , 15.68, , 0.01, , , , 18.3, , , , , , , 0.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.49, 69.1, 5664.4
42, GI06-191650R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.29, , 24.64, , 0.01, , , 15.95, , 0.008706, , , , , , 0.11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.48, 77.4, 6399.4
43, GI06-191654R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.05, , 14.68, , , , , , 25.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.47, 59.9, 5674.2
44, GI06-191656R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.0, , 15.0, 15.0, , , , 10.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.51, 82.7, 6458.2
45, GI06-191657R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.7, , 15.34, , 14.97, , , 9.99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.57, 80.6, 6615.0
46, GI06-191658R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.12, , 14.77, , , 14.96, , 9.99, , , , , , , , 0.16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.0, 75.6, 6301.4
47, GI06-191659R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 60.29, , 14.32, , , , , 10.12, , 15.27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.72, 79.7, 5929.0
48, GI06-191660R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 59.41, , 14.9, , 0.01, 0.009589, , 9.94, , , 15.59, , , , , 0.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.79, 78.9, 6634.6
49, GI06-191661R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.71, , 14.5, 19.82, , , , 9.88, , , , , , , , 0.09, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.55, 86.3, 5831.0
50, GI06-191662R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.06, , 14.15, 0.16, 20.58, , , 9.92, , , , , , , , 0.13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.63, 83.9, 7007.0
51, GI06-191663R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.29, , 15.02, , , 19.66, , 10.03, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.2, 76.7, 6350.4
52, GI06-191664R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 55.45, , 14.68, , 0.01, , , 9.95, , 19.84, , , , , , 0.07, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.85, 82.4, 5987.8
53, GI06-191665R, NGF's Additional New Data (J), 2001, v. 004  p. 0001, 54.63, , 14.88, , 0.01, 0.00489, , 9.76, , , 20.57, , , , , 0.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.93, 81.2, 6370.0
