Search Condition
State,Not Specified
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Density at RT,,,,Common,,
AND,Vickers Hardness 100g,,,,Common,,
AND,Young's Modulus at RT,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,1000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, SnO, Cr2O3, Fe2O3, Ga2O3, As2O3, Y2O3, Sb2O3, La2O3, Gd2O3, TiO2, ZrO2, CeO2, SnO2, TeO2, P2O5, V2O5, Nb2O5, Ta2O5, HfO2, SO3, WO3, GeS2, OH, Tb2O3, MgF2, CaF2, SrF2, AlF3, SrCl2, CdCl2, PbCl2, N, O, F, Al, Si, Cl, Co, Y, Sb, La, Pr, Nd, Tb, Dy, Ho, Er, Sr(PO3)2, Sb2S3, AlN, Density at RT ( g/cm3 ), Young's Modulus at RT ( GPa ), Vickers Hardness 100g ( MPa )
263, GJ20-359500, J. Non-Crystalline Solids, 2015, v. 430  p. 0079, , , , , , 40.0, , , , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , 10.0, , , , , , , , , , , , , , , , , , , , , , , , , 3.365, 41.51, 2920.0
264, GJ60-359503, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10.0, 28.3, 23.1, 38.6, , , , , , , , , , , , , , , , , , , , , , , 3.42, 66.2, 3750.0
265, GJ60-359504, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 9.5, 28.2, 22.9, 38.4, , , , , , , , , , , , , , , , , , , , 1.0, , , 3.54, 68.9, 3830.0
266, GJ60-359505, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 9.5, 27.8, 22.9, 37.8, , , , , , , , , , , , , , , , , , , , 2.0, , , 3.45, 70.3, 3890.0
267, GJ60-359506, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 9.5, 27.5, 22.5, 37.5, , , , , , , , , , , , , , , , , , , , 3.0, , , 3.46, 69.7, 3950.0
268, GJ60-359507, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 9.5, 27.5, 21.5, 37.5, , , , , , , , , , , , , , , , , , , , 4.0, , , 3.45, 70.6, 4010.0
269, GJ60-359508, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 9.5, 27.0, 21.0, 36.5, , , , , , , , , , , , , , , , , , , , 6.0, , , 3.46, 73.1, 4060.0
270, GJ60-359509, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 10.0, 30.2, 16.8, 35.0, , , , , , , , , , , , , , , , , , , , 8.0, , , 3.47, 72.3, 4100.0
271, GJ60-359510, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 10.0, 30.0, 15.0, 35.0, , , , , , , , , , , , , , , , , , , , 10.0, , , 3.4, 74.3, 4270.0
272, GJ60-359511, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 10.0, 23.4, 19.4, 32.2, , , , , , , , , , , , , , , , , , , , 15.0, , , 3.48, 75.4, 4350.0
273, GJ60-359512, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 10.0, 21.8, 18.2, 30.0, , , , , , , , , , , , , , , , , , , , 20.0, , , 3.51, 77.5, 4580.0
274, GJ60-359513, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 10.0, 19.0, 15.0, 26.0, , , , , , , , , , , , , , , , , , , , 30.0, , , 3.51, 78.5, 4770.0
275, GJ60-359514, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 10.0, 15.5, 13.0, 21.5, , , , , , , , , , , , , , , , , , , , 40.0, , , 3.46, 77.2, 4700.0
276, GJ60-359515, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 4.0, 8.0, 7.0, 11.0, , , , , , , , , , , , , , , , , , , , 70.0, , , 3.26, 61.1, 4170.0
277, GJ60-359516, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 2.5, 5.5, 4.5, 7.5, , , , , , , , , , , , , , , , , , , , 80.0, , , 3.25, 59.7, 4070.0
278, GJ20-359517, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , 1.5, 2.9, 1.9, 4.0, , , , , , , , , , , , , , , , , , , , 90.0, , , 3.2, 54.5, 3790.0
279, GJ20-359518, J. Non-Crystalline Solids, 2015, v. 430  p. 0099, , , , , , , , , , , *, , , , , , , , , , , , , , , *, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 100.0, , , 3.18, 51.8, 3610.0
280, GP03-360444, Japanese Patent    Hoya Corp. (J), 2015, A096465, 65.69, 1.92, , 5.46, 10.94, , , 2.37, 6.44, , 2.57, , , , , , , , 0.82, , , 3.79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.68, 88.0, 5929.0
281, GP03-360445, Japanese Patent    Hoya Corp. (J), 2015, A096465, 65.05, 0.93, 1.27, 4.82, 9.23, , , 6.27, 4.81, 3.18, , , , , , , , , , , , 4.25, 0.19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.66, 83.0, 5635.0
282, GP03-360446, Japanese Patent    Hoya Corp. (J), 2015, A096465, 71.31, , , 3.33, 9.46, , , 1.19, 10.55, , , , , , , , , , , 0.78, , 3.38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.7, 80.0, 6174.0
283, GP03-360447, Japanese Patent    Hoya Corp. (J), 2015, A096465, 75.68, , , 3.48, 8.7, 1.31, , 1.19, 5.04, , , , , , , , , 0.11, , , , 3.26, , , , , , 1.23, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.68, 89.0, 5684.0
284, GP03-360448, Japanese Patent    Hoya Corp. (J), 2015, A096465, 65.57, 0.49, 0.13, 3.53, 8.95, , , 6.57, 10.66, , , , , , , , , , , , , 3.36, , , , , , , 0.74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.69, 88.0, 5439.0
285, GP03-360449, Japanese Patent    Hoya Corp. (J), 2015, A096465, 64.13, , 0.75, 7.15, 14.04, , , 3.2, 6.32, , , , , , , , , , , , , 3.74, 0.41, , , , , 0.26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.65, 80.0, 5733.0
286, GP03-360450, Japanese Patent    Hoya Corp. (J), 2015, A096465, 67.03, 0.46, 0.31, 5.35, 13.69, , , 3.27, 5.52, , , , , , , , , , , , , 4.22, 0.15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.68, 80.0, 5586.0
287, GP03-360451, Japanese Patent    Hoya Corp. (J), 2015, A096465, 62.77, 1.64, 0.93, 7.55, 13.11, , , 3.58, 6.46, , , , , , , , , , , , , 3.96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.61, 83.0, 5978.0
288, GP03-360452, Japanese Patent    Hoya Corp. (J), 2015, A096465, 66.09, , 0.5, 6.46, 12.8, , , 3.49, 6.07, , , , , , , , , , , , , 4.59, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.64, 83.0, 6076.0
289, GP03-360453, Japanese Patent    Hoya Corp. (J), 2015, A096465, 69.57, , , 4.37, 13.45, , , 3.65, 5.34, , , , , , , , , , , , , 3.62, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.69, 82.0, 5880.0
290, GJ02-368433, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 73.82, , , , 11.19, , , 14.99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.514, 73.8, 5640.0
291, GJ02-368434, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 73.98, , , , 9.81, , , 14.81, , , , , , , , , , , , , 1.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.503, 72.6, 5370.0
292, GJ02-368435, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 75.53, , , , 5.49, , , 15.58, , , , , , , , , , , , , 3.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.478, 71.9, 5020.0
293, GJ02-368436, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 78.3, , , , 0.6, , , 15.6, , , , , , , , , , , , , 5.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.443, 68.8, 4840.0
294, GJ02-368437, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 69.72, , , , 13.99, , , 14.59, , , , , , , , , , , , , 1.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.56, 74.6, 5670.0
295, GJ02-368438, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 68.38, , , , 14.01, , , 14.61, , , , , , , , , , , , , 3.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.566, 75.7, 5780.0
296, GJ02-368439, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 67.0, , , , 13.3, , , 15.0, , , , , , , , , , , , , 4.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.594, 76.8, 5880.0
297, GJ02-368440, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 65.8, , , , 13.2, , , 15.0, , , , , , , , , , , , , 6.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.605, 78.0, 5980.0
298, GJ02-368441, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 62.8, , , , 13.9, , , 15.1, , , , , , , , , , , , , 8.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.638, 80.1, 6100.0
299, GJ02-368442, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 61.3, , , , 13.8, , , 15.0, , , , , , , , , , , , , 9.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.661, 81.3, 6350.0
300, GJ02-368443, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 71.6, , , , 12.1, , , 14.5, , , , , , , , , , , , , 1.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.519, 73.8, 5590.0
301, GJ02-368444, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 71.5, , , , 10.1, , , 15.0, , , , , , , , , , , , , 3.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.52, 73.4, 5590.0
302, GJ02-368445, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 72.24, , , , 7.29, , , 15.38, , , , , , , , , , , , , 5.09, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.526, 73.6, 5600.0
303, GJ02-368446, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 71.9, , , , 5.1, , , 15.7, , , , , , , , , , , , , 7.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.525, 73.5, 5570.0
304, GJ02-368447, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 71.53, , , , 2.5, , , 16.28, , , , , , , , , , , , , 9.69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.535, 73.6, 5510.0
305, GJ02-368448, J. Non-Crystalline Solids, 2017, v. 471  p. 0006, 71.3, , , , 0.4, , , 16.3, , , , , , , , , , , , , 12.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.535, 73.5, 5480.0
306, GJ28-369386, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, , , , , , , , , , , , , , , , , , , , , , , , , 40.0, , 60.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.71, 41.672, 13190.0
307, GJ28-369387, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, , , , , , , , , , , , , , , , , , , , , , , , , 40.0, , 55.0, , , , , , , , , , , , , , , , , , , , , , , , 5.0, , , , , , , , , , , 3.759, 43.114, 14160.0
308, GJ28-369388, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, , , , , , , , , , , , , , , , , , , , , , , , , 40.0, , 52.0, , , , , , , , , , , , , , , , , , , , , , , , 8.0, , , , , , , , , , , 3.882, 44.352, 12150.0
309, GJ28-369389, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, , , , , , , , , , , , , , , , , , , , , , , , , 40.0, , 50.0, , , , , , , , , , , , , , , , , , , , , , , , 10.0, , , , , , , , , , , 3.888, 47.343, 13190.0
310, GJ28-369390, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, , , , , , , , , , , , , , , , , , , , , , , , , 40.0, , 48.0, , , , , , , , , , , , , , , , , , , , , , , , 12.0, , , , , , , , , , , 4.031, 48.154, 16350.0
311, GJ28-369391, J. Non-Crystalline Solids, 2017, v. 470  p. 0112, , , , , , , , , , , , , , , , , , , , , , , , , 40.0, , 45.0, , , , , , , , , , , , , , , , , , , , , , , , 15.0, , , , , , , , , , , 4.144, 49.781, 15140.0
312, GJ03-373014, Bull. Materials Science, 2016, v. 039  p. 0365, 42.0, , , , 34.0, , 18.0, , , , , , , , , , , , , , , , , , , 6.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.68, 90.47, 6750.0
313, GJ03-373015, Bull. Materials Science, 2016, v. 039  p. 0365, 42.0, , 0.5, , 34.0, , 17.5, , , , , , , , , , , , , , , , , , , 6.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.74, 92.16, 7300.0
314, GJ03-373016, Bull. Materials Science, 2016, v. 039  p. 0365, 42.0, , 1.0, , 34.0, , 17.0, , , , , , , , , , , , , , , , , , , 6.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.77, 97.24, 7800.0
315, GJ03-373017, Bull. Materials Science, 2016, v. 039  p. 0365, 42.0, , 1.5, , 34.0, , 16.5, , , , , , , , , , , , , , , , , , , 6.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.81, 101.95, 8900.0
316, GJ03-373018, Bull. Materials Science, 2016, v. 039  p. 0365, 42.0, , 2.5, , 34.0, , 15.5, , , , , , , , , , , , , , , , , , , 6.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.825, 104.38, 9950.0
317, GJ03-378945, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 45.0, , , , 55.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.843, 89.0, 6380.0
318, GJ03-378946, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 55.0, , , , 45.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.757, 86.0, 6130.0
319, GJ02-378949, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 75.0, , , , 12.5, , , 12.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.5023, 77.9, 5290.0
320, GJ02-378950, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 65.0, , , , 17.5, , , 17.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.613, 80.0, 6000.0
321, GJ03-378951, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 65.0, , , , 22.5, , , 12.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.596, 77.7, 6040.0
322, GJ02-378952, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 65.0, , , , 12.5, , , 22.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.565, 75.4, 5410.0
323, GJ02-378953, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 55.0, , , , 22.5, , , 22.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.661, 80.6, 5920.0
324, GJ03-378954, J. Non-Crystalline Solids, 2018, v. 492  p. 0094, 55.0, , , , 27.5, , , 17.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.683, 85.0, 5950.0
325, GJ40-390413, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, , , , , , , , , , , , 66.7, , , , , , , , , , , , , , 33.3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.84, 28.0, 1500.0
326, GJ40-390414, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, , , , , , , , , , 9.8, , 57.4, , , , , , , , , , , , , , 32.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.84, 32.5, 1600.0
327, GJ40-390415, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, , , , , , , , , , 20.6, , 46.9, , , , , , , , , , , , , , 32.5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.87, 37.5, 1700.0
328, GJ40-390416, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, , , , , , , , , , 24.8, , 42.4, , , , , , , , , , , , , , 32.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.9, 40.0, 2000.0
329, GJ40-390417, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, , , , , , , , , , 29.1, , 38.8, , , , , , , , , , , , , , 32.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.96, 43.5, 2300.0
330, GJ40-390418, J. Non-Crystalline Solids, 2019, v. 513  p. 0044, , , , , , , , , , 39.9, , 28.5, , , , , , , , , , , , , , 31.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.97, 48.0, 2500.0
331, GJ50-393506, J. Non-Crystalline Solids, 2019, a. 119543, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 50.0, , , , , , , , , , , , , , , , , , , , , , , , , , , 50.0, , 3.688, 16.55, 1550.0
332, GJ50-393507, J. Non-Crystalline Solids, 2019, a. 119543, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 48.5, , , , , , , , , 3.0, , , , , , , , , , , , , , , , , , 48.5, , 3.737, 16.55, 1630.0
333, GJ50-393508, J. Non-Crystalline Solids, 2019, a. 119543, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 47.5, , , , , , , , , 5.0, , , , , , , , , , , , , , , , , , 47.5, , 3.787, 16.55, 1690.0
334, GJ50-393509, J. Non-Crystalline Solids, 2019, a. 119543, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 46.0, , , , , , , , , 8.0, , , , , , , , , , , , , , , , , , 46.0, , 3.836, 16.54, 1700.0
335, GJ50-393510, J. Non-Crystalline Solids, 2019, a. 119543, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 45.0, , , , , , , , , 10.0, , , , , , , , , , , , , , , , , , 45.0, , 3.892, 16.55, 1710.0
336, GJ02-397620, J. American Ceramic Soc., 2019, v. 102  p. 4520, 75.0, , , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.43, 56.0, 4400.0
337, GJ02-397621, J. American Ceramic Soc., 2019, v. 102  p. 4520, 62.5, 12.5, , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.49, 73.0, 6400.0
338, GJ02-397622, J. American Ceramic Soc., 2019, v. 102  p. 4520, 50.0, 25.0, , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.51, 73.0, 6600.0
339, GJ05-397623, J. American Ceramic Soc., 2019, v. 102  p. 4520, 37.5, 37.5, , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.47, 75.0, 5800.0
340, GJ10-397624, J. American Ceramic Soc., 2019, v. 102  p. 4520, 25.0, 50.0, , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.4, 69.0, 6200.0
341, GJ10-397625, J. American Ceramic Soc., 2019, v. 102  p. 4520, 12.5, 62.5, , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.33, 62.0, 5500.0
342, GJ10-397626, J. American Ceramic Soc., 2019, v. 102  p. 4520, , 75.0, , , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.25, 53.0, 4700.0
343, GJ02-397627, J. American Ceramic Soc., 2019, v. 102  p. 4520, 62.5, , 12.5, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.45, 67.0, 5600.0
344, GJ02-397628, J. American Ceramic Soc., 2019, v. 102  p. 4520, 50.0, 12.5, 12.5, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.45, 69.0, 6500.0
345, GJ05-397629, J. American Ceramic Soc., 2019, v. 102  p. 4520, 37.5, 25.0, 12.5, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.42, 64.0, 6100.0
346, GJ10-397630, J. American Ceramic Soc., 2019, v. 102  p. 4520, 25.0, 37.5, 12.5, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.35, 56.0, 5400.0
347, GJ10-397631, J. American Ceramic Soc., 2019, v. 102  p. 4520, 12.5, 50.0, 12.5, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.28, 50.0, 4500.0
348, GJ10-397632, J. American Ceramic Soc., 2019, v. 102  p. 4520, , 62.5, 12.5, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.22, 44.0, 3800.0
349, GJ02-397633, J. American Ceramic Soc., 2019, v. 102  p. 4520, 50.0, , 25.0, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.5, 72.0, 6600.0
350, GJ06-397634, J. American Ceramic Soc., 2019, v. 102  p. 4520, 37.5, 12.5, 25.0, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.42, 62.0, 6000.0
351, GJ05-397635, J. American Ceramic Soc., 2019, v. 102  p. 4520, 25.0, 25.0, 25.0, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.36, 51.0, 4900.0
352, GJ10-397636, J. American Ceramic Soc., 2019, v. 102  p. 4520, 12.5, 37.5, 25.0, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.29, 46.0, 4000.0
353, GJ10-397637, J. American Ceramic Soc., 2019, v. 102  p. 4520, , 50.0, 25.0, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.25, 44.0, 3500.0
354, GJ10-397638, J. American Ceramic Soc., 2019, v. 102  p. 4520, , 45.0, 30.0, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.36, 55.0, 4900.0
355, GJ10-397639, J. American Ceramic Soc., 2019, v. 102  p. 4520, 12.5, 32.5, 30.0, , , , , 25.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.28, 47.0, 3700.0
356, GP06-399059, Japanese Patent    AGC (J), 2017, AW204167, 65.6, 9.7, 12.5, 4.4, 2.0, , , , , , 5.8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.48, 75.1, 5390.0
357, GP06-399062, Japanese Patent    AGC (J), 2017, AW204167, 65.8, 9.9, 12.5, 4.7, 2.0, , , , , , 5.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.47, 75.7, 5390.0
358, GP03-403340, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 55.2, , 11.6, 15.0, 7.7, , , , , , , , , , , , 10.4, , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.228, 113.0, 7673.4
359, GP03-403341, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 47.2, , 11.6, 30.0, 7.7, , , , , , , , , , , , 3.4, , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.966, 114.0, 7908.6
360, GP03-403342, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 42.2, , 11.6, 35.0, 7.7, , , , , , , , , , , , 3.4, , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.019, 117.0, 7761.6
361, GP03-403343, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 42.2, , 11.6, 30.0, 12.7, , , , , , , , , , , , 3.4, , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.024, 113.0, 7595.0
362, GP03-403344, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 37.2, , 11.6, 30.0, 17.7, , , , , , , , , , , , 3.4, , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 3.072, 116.0, 7781.2
363, GP03-403345, Japanese Patent    Nippon Electric Glass (J), 2019, A182727, 44.2, , 14.6, 30.0, 7.7, , , , , , , , , , , , 3.4, , , , , , , 0.1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 2.973, 113.0, 8006.6
